iter	Passed	Remaining
0	12	3163
1	21	2679
2	32	2621
3	41	2498
4	51	2502
5	60	2431
6	68	2358
7	78	2339
8	85	2257
9	95	2273
10	103	2214
11	112	2193
12	118	2140
13	129	2148
14	138	2143
15	146	2111
16	156	2115
17	164	2088
18	174	2092
19	181	2061
20	190	2044
21	197	2020
22	206	2012
23	213	1987
24	221	1970
25	229	1951
26	239	1954
27	251	1968
28	259	1948
29	269	1946
30	276	1923
31	285	1919
32	293	1903
33	301	1888
34	309	1871
35	317	1862
36	326	1855
37	334	1840
38	343	1833
39	352	1822
40	362	1819
41	369	1803
42	379	1799
43	386	1782
44	394	1771
45	402	1758
46	411	1751
47	419	1738
48	426	1724
49	434	1712
50	444	1707
51	451	1693
52	459	1681
53	466	1666
54	475	1658
55	482	1644
56	490	1635
57	498	1624
58	506	1613
59	515	1605
60	523	1595
61	531	1586
62	539	1575
63	548	1568
64	555	1556
65	565	1550
66	573	1540
67	582	1532
68	590	1523
69	600	1517
70	609	1509
71	616	1498
72	623	1486
73	632	1479
74	641	1470
75	649	1461
76	658	1454
77	667	1445
78	675	1437
79	683	1427
80	693	1421
81	700	1409
82	708	1400
83	715	1389
84	725	1383
85	732	1371
86	742	1365
87	749	1354
88	758	1347
89	766	1336
90	776	1331
91	786	1325
92	794	1315
93	803	1307
94	809	1295
95	818	1287
96	826	1277
97	834	1269
98	842	1258
99	850	1250
100	858	1240
101	868	1234
102	876	1224
103	885	1217
104	893	1207
105	901	1199
106	910	1190
107	918	1182
108	928	1176
109	937	1167
110	947	1161
111	955	1152
112	965	1144
113	973	1136
114	982	1128
115	990	1118
116	998	1109
117	1008	1102
118	1015	1092
119	1025	1084
120	1032	1074
121	1040	1066
122	1051	1060
123	1059	1051
124	1068	1042
125	1076	1033
126	1084	1024
127	1092	1015
128	1100	1006
129	1109	998
130	1120	991
131	1127	982
132	1137	974
133	1144	965
134	1153	957
135	1160	947
136	1170	940
137	1178	930
138	1188	923
139	1199	916
140	1206	906
141	1216	899
142	1224	890
143	1232	881
144	1241	873
145	1250	864
146	1260	857
147	1267	847
148	1276	839
149	1283	830
150	1293	822
151	1301	813
152	1311	805
153	1320	797
154	1328	788
155	1337	780
156	1345	771
157	1353	762
158	1360	753
159	1367	743
160	1376	735
161	1387	727
162	1394	718
163	1402	709
164	1410	700
165	1418	692
166	1425	682
167	1435	674
168	1442	665
169	1451	657
170	1458	648
171	1467	639
172	1474	630
173	1483	622
174	1491	613
175	1500	605
176	1507	596
177	1517	588
178	1526	579
179	1534	571
180	1541	562
181	1550	553
182	1561	546
183	1569	537
184	1578	529
185	1586	520
186	1596	512
187	1603	503
188	1612	494
189	1619	485
190	1627	477
191	1635	468
192	1644	459
193	1651	451
194	1660	442
195	1667	433
196	1675	425
197	1683	416
198	1690	407
199	1698	399
200	1706	390
201	1713	381
202	1722	373
203	1731	364
204	1742	357
205	1751	348
206	1758	339
207	1772	332
208	1783	324
209	1793	315
210	1800	307
211	1808	298
212	1815	289
213	1823	281
214	1831	272
215	1839	264
216	1848	255
217	1856	247
218	1864	238
219	1873	229
220	1882	221
221	1889	212
222	1896	204
223	1904	195
224	1911	186
225	1919	178
226	1928	169
227	1936	161
228	1944	152
229	1954	144
230	1965	136
231	1972	127
232	1981	119
233	1988	110
234	1996	101
235	2003	93
236	2011	84
237	2019	76
238	2028	67
239	2035	59
240	2043	50
241	2050	42
242	2058	33
243	2065	25
244	2075	16
245	2082	8
246	2091	0
