EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-20141262837,12/25/2013 5:00:00 AM,Etobicoke City Centre (159),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141263217,12/31/2013 5:00:00 AM,Victoria Village (43),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141262914,1/1/2014 5:00:00 AM,Cliffcrest (123),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141266240,1/2/2014 5:00:00 AM,Woodbine-Lumsden (60),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141266097,1/2/2014 5:00:00 AM,Agincourt North (129),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141265947,1/1/2014 5:00:00 AM,Mount Olive-Silverstone-Jamestown (2),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141265795,1/1/2014 5:00:00 AM,Edenbridge-Humber Valley (9),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141272160,1/2/2014 5:00:00 AM,O'Connor-Parkview (54),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141273126,1/2/2014 5:00:00 AM,Glenfield-Jane Heights (25),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141275619,12/20/2013 5:00:00 AM,Bendale South (157),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141275621,1/3/2014 5:00:00 AM,Bendale-Glen Andrew (156),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141276144,1/2/2014 5:00:00 AM,Glenfield-Jane Heights (25),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141276685,1/3/2014 5:00:00 AM,Bendale-Glen Andrew (156),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141276128,1/3/2014 5:00:00 AM,Banbury-Don Mills (42),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141277679,1/4/2014 5:00:00 AM,Humber Summit (21),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141278572,1/3/2014 5:00:00 AM,York University Heights (27),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141279839,1/3/2014 5:00:00 AM,Thorncliffe Park (55),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141279839,1/3/2014 5:00:00 AM,Thorncliffe Park (55),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141282861,12/25/2013 5:00:00 AM,Fort York-Liberty Village (163),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141282457,1/4/2014 5:00:00 AM,East Willowdale (152),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141282457,1/4/2014 5:00:00 AM,East Willowdale (152),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141288969,1/5/2014 5:00:00 AM,Bedford Park-Nortown (39),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141286149,1/5/2014 5:00:00 AM,Avondale (153),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141286615,1/4/2014 5:00:00 AM,Briar Hill-Belgravia (108),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141286266,1/5/2014 5:00:00 AM,Rustic (28),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141286179,1/3/2014 5:00:00 AM,Junction Area (90),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141283868,1/4/2014 5:00:00 AM,Brookhaven-Amesbury (30),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141292218,1/6/2014 5:00:00 AM,Keelesdale-Eglinton West (110),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141290597,1/6/2014 5:00:00 AM,O'Connor-Parkview (54),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141293197,12/28/2013 5:00:00 AM,East Willowdale (152),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141297914,12/13/2013 5:00:00 AM,Wexford/Maryvale (119),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141295108,12/26/2013 5:00:00 AM,NSA,Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141299100,1/7/2014 5:00:00 AM,Cabbagetown-South St.James Town (71),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141295300,1/7/2014 5:00:00 AM,Eglinton East (138),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141295442,1/7/2014 5:00:00 AM,Kingsview Village-The Westway (6),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141295843,1/7/2014 5:00:00 AM,Edenbridge-Humber Valley (9),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141297040,1/7/2014 5:00:00 AM,Cabbagetown-South St.James Town (71),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141302189,1/7/2014 5:00:00 AM,Dorset Park (126),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141302650,1/7/2014 5:00:00 AM,Dorset Park (126),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141305232,1/7/2014 5:00:00 AM,Bendale-Glen Andrew (156),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141305307,1/8/2014 5:00:00 AM,West Rouge (143),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141303985,1/8/2014 5:00:00 AM,Etobicoke City Centre (159),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141306439,1/8/2014 5:00:00 AM,Bayview Woods-Steeles (49),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141307183,1/8/2014 5:00:00 AM,Steeles (116),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141310284,1/7/2014 5:00:00 AM,South Riverdale (70),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141310320,1/8/2014 5:00:00 AM,Humber Summit (21),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141312885,1/9/2014 5:00:00 AM,Humbermede (22),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141311790,1/9/2014 5:00:00 AM,Fenside-Parkwoods (150),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141311405,1/9/2014 5:00:00 AM,Eglinton East (138),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141311206,1/9/2014 5:00:00 AM,Long Branch (19),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141308876,1/9/2014 5:00:00 AM,Agincourt South-Malvern West (128),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141309029,1/8/2014 5:00:00 AM,Kingsview Village-The Westway (6),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141309040,1/9/2014 5:00:00 AM,Morningside Heights (144),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141309313,1/8/2014 5:00:00 AM,Edenbridge-Humber Valley (9),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141309321,1/9/2014 5:00:00 AM,Newtonbrook East (50),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141310520,1/9/2014 5:00:00 AM,Kennedy Park (124),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141320157,1/10/2014 5:00:00 AM,Cabbagetown-South St.James Town (71),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141319157,1/10/2014 5:00:00 AM,Taylor-Massey (61),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141319046,1/10/2014 5:00:00 AM,West Humber-Clairville (1),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141317409,1/10/2014 5:00:00 AM,Trinity-Bellwoods (81),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141316838,1/6/2014 5:00:00 AM,Don Valley Village (47),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141315780,1/10/2014 5:00:00 AM,Wexford/Maryvale (119),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141314909,1/10/2014 5:00:00 AM,York University Heights (27),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141315004,1/9/2014 5:00:00 AM,Trinity-Bellwoods (81),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141321406,1/9/2014 5:00:00 AM,Oakdale-Beverley Heights (154),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141324139,1/11/2014 5:00:00 AM,West Humber-Clairville (1),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141325757,1/10/2014 5:00:00 AM,Pelmo Park-Humberlea (23),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141331881,1/12/2014 5:00:00 AM,Yorkdale-Glen Park (31),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141331813,1/12/2014 5:00:00 AM,Glenfield-Jane Heights (25),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141330911,1/11/2014 5:00:00 AM,Rockcliffe-Smythe (111),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141330692,1/12/2014 5:00:00 AM,Regent Park (72),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141330178,1/11/2014 5:00:00 AM,Tam O'Shanter-Sullivan (118),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141329743,1/10/2014 5:00:00 AM,Stonegate-Queensway (16),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141329368,1/12/2014 5:00:00 AM,Brookhaven-Amesbury (30),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141328758,1/11/2014 5:00:00 AM,Bedford Park-Nortown (39),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141328608,1/11/2014 5:00:00 AM,Centennial Scarborough (133),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141338918,1/13/2014 5:00:00 AM,Yorkdale-Glen Park (31),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141338466,1/12/2014 5:00:00 AM,Mount Olive-Silverstone-Jamestown (2),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141337728,1/13/2014 5:00:00 AM,Agincourt South-Malvern West (128),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141336718,1/13/2014 5:00:00 AM,Oakridge (121),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141337289,1/13/2014 5:00:00 AM,Agincourt South-Malvern West (128),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141333049,1/13/2014 5:00:00 AM,Wellington Place (164),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141332570,1/12/2014 5:00:00 AM,Agincourt South-Malvern West (128),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141343973,1/14/2014 5:00:00 AM,Cliffcrest (123),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141340842,11/23/2013 5:00:00 AM,West Humber-Clairville (1),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141342128,1/10/2014 5:00:00 AM,St.Andrew-Windfields (40),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141342057,1/13/2014 5:00:00 AM,Junction-Wallace Emerson (171),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141341953,1/14/2014 5:00:00 AM,Church-Wellesley (167),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141340020,1/13/2014 5:00:00 AM,Humewood-Cedarvale (106),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141339935,1/13/2014 5:00:00 AM,Forest Hill North (102),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141345035,1/14/2014 5:00:00 AM,Glenfield-Jane Heights (25),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
GO-20141344195,1/14/2014 5:00:00 AM,Hillcrest Village (48),Auto Theft,Theft Of Motor Vehicle,NA,NA,NA,NA
