EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-20141263544,12/26/2013 5:00:00 AM,Harbourfront-CityPlace (165),NA,NA,NA,NA,NA,NA
GO-20141261431,1/1/2014 5:00:00 AM,South Parkdale (85),NA,NA,NA,NA,NA,NA
GO-20141263784,1/1/2014 5:00:00 AM,Palmerston-Little Italy (80),NA,NA,NA,NA,NA,NA
GO-20149000090,1/1/2014 5:00:00 AM,Harbourfront-CityPlace (165),NA,NA,NA,NA,NA,NA
GO-20149000071,12/25/2013 5:00:00 AM,Cabbagetown-South St.James Town (71),NA,NA,NA,NA,NA,NA
GO-20149000074,12/25/2013 5:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20141267465,9/30/2013 4:00:00 AM,Kensington-Chinatown (78),NA,NA,NA,NA,NA,NA
GO-20141266048,12/30/2013 5:00:00 AM,Bedford Park-Nortown (39),NA,NA,NA,NA,NA,NA
GO-20149000113,12/31/2013 5:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20149000113,12/31/2013 5:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20141272882,7/1/2013 4:00:00 AM,Lawrence Park North (105),NA,NA,NA,NA,NA,NA
GO-20149000137,1/3/2014 5:00:00 AM,Humewood-Cedarvale (106),NA,NA,NA,NA,NA,NA
GO-20141281947,1/4/2014 5:00:00 AM,Church-Wellesley (167),NA,NA,NA,NA,NA,NA
GO-20141285125,12/23/2013 5:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20141287666,1/4/2014 5:00:00 AM,Leaside-Bennington (56),NA,NA,NA,NA,NA,NA
GO-20141293197,12/28/2013 5:00:00 AM,East Willowdale (152),NA,NA,NA,NA,NA,NA
GO-20141291713,1/5/2014 5:00:00 AM,Englemount-Lawrence (32),NA,NA,NA,NA,NA,NA
GO-20141298500,11/22/2013 5:00:00 AM,South Riverdale (70),NA,NA,NA,NA,NA,NA
GO-20141304072,1/7/2014 5:00:00 AM,South Riverdale (70),NA,NA,NA,NA,NA,NA
GO-20141305317,1/5/2014 5:00:00 AM,Church-Wellesley (167),NA,NA,NA,NA,NA,NA
GO-20149000241,1/8/2014 5:00:00 AM,Moss Park (73),NA,NA,NA,NA,NA,NA
GO-20141298201,12/27/2013 5:00:00 AM,Wellington Place (164),NA,NA,NA,NA,NA,NA
GO-20141318595,1/10/2014 5:00:00 AM,Kensington-Chinatown (78),NA,NA,NA,NA,NA,NA
GO-20141318032,1/10/2014 5:00:00 AM,St Lawrence-East Bayfront-The Islands (166),NA,NA,NA,NA,NA,NA
GO-20141324363,1/11/2014 5:00:00 AM,Annex (95),NA,NA,NA,NA,NA,NA
GO-20149000374,6/6/2013 4:00:00 AM,Wellington Place (164),NA,NA,NA,NA,NA,NA
GO-20141324363,1/11/2014 5:00:00 AM,Annex (95),NA,NA,NA,NA,NA,NA
GO-20149000401,1/8/2014 5:00:00 AM,Avondale (153),NA,NA,NA,NA,NA,NA
GO-20141333599,1/13/2014 5:00:00 AM,Little Portugal (84),NA,NA,NA,NA,NA,NA
GO-20141330378,1/11/2014 5:00:00 AM,Broadview North (57),NA,NA,NA,NA,NA,NA
GO-20149000445,1/14/2014 5:00:00 AM,Yonge-Bay Corridor (170),NA,NA,NA,NA,NA,NA
GO-20149000428,1/14/2014 5:00:00 AM,New Toronto (18),NA,NA,NA,NA,NA,NA
GO-20141351368,1/15/2014 5:00:00 AM,Moss Park (73),NA,NA,NA,NA,NA,NA
GO-20149000495,1/12/2014 5:00:00 AM,Harbourfront-CityPlace (165),NA,NA,NA,NA,NA,NA
GO-20141367591,1/18/2014 5:00:00 AM,Wexford/Maryvale (119),NA,NA,NA,NA,NA,NA
GO-20149000553,1/18/2014 5:00:00 AM,Little Portugal (84),NA,NA,NA,NA,NA,NA
GO-20149000575,1/9/2014 5:00:00 AM,Junction-Wallace Emerson (171),NA,NA,NA,NA,NA,NA
GO-20141383464,1/17/2014 5:00:00 AM,Kensington-Chinatown (78),NA,NA,NA,NA,NA,NA
GO-20141383941,1/9/2014 5:00:00 AM,Trinity-Bellwoods (81),NA,NA,NA,NA,NA,NA
GO-20141386364,12/25/2013 5:00:00 AM,Humewood-Cedarvale (106),NA,NA,NA,NA,NA,NA
GO-20141391839,1/22/2014 5:00:00 AM,Scarborough Village (139),NA,NA,NA,NA,NA,NA
GO-20141386364,12/25/2013 5:00:00 AM,Humewood-Cedarvale (106),NA,NA,NA,NA,NA,NA
GO-20141404003,1/5/2014 5:00:00 AM,Cabbagetown-South St.James Town (71),NA,NA,NA,NA,NA,NA
GO-20141414982,1/25/2014 5:00:00 AM,St Lawrence-East Bayfront-The Islands (166),NA,NA,NA,NA,NA,NA
GO-20149000818,1/27/2014 5:00:00 AM,Cabbagetown-South St.James Town (71),NA,NA,NA,NA,NA,NA
GO-20141427259,1/28/2014 5:00:00 AM,Rockcliffe-Smythe (111),NA,NA,NA,NA,NA,NA
GO-20141427708,1/28/2014 5:00:00 AM,South Eglinton-Davisville (174),NA,NA,NA,NA,NA,NA
GO-20149000818,1/27/2014 5:00:00 AM,Cabbagetown-South St.James Town (71),NA,NA,NA,NA,NA,NA
GO-20141432628,1/28/2014 5:00:00 AM,Thorncliffe Park (55),NA,NA,NA,NA,NA,NA
GO-20149000867,1/29/2014 5:00:00 AM,Junction Area (90),NA,NA,NA,NA,NA,NA
GO-20149000905,1/31/2014 5:00:00 AM,Yorkdale-Glen Park (31),NA,NA,NA,NA,NA,NA
GO-20149000963,2/2/2014 5:00:00 AM,Broadview North (57),NA,NA,NA,NA,NA,NA
GO-20141455227,2/1/2014 5:00:00 AM,Moss Park (73),NA,NA,NA,NA,NA,NA
GO-20149000997,1/27/2014 5:00:00 AM,Junction-Wallace Emerson (171),NA,NA,NA,NA,NA,NA
GO-20141466776,2/3/2014 5:00:00 AM,Bedford Park-Nortown (39),NA,NA,NA,NA,NA,NA
GO-20141475534,2/4/2014 5:00:00 AM,Cabbagetown-South St.James Town (71),NA,NA,NA,NA,NA,NA
GO-20141472644,2/4/2014 5:00:00 AM,South Parkdale (85),NA,NA,NA,NA,NA,NA
GO-20141474673,1/31/2014 5:00:00 AM,Rockcliffe-Smythe (111),NA,NA,NA,NA,NA,NA
GO-20141488887,2/7/2014 5:00:00 AM,Moss Park (73),NA,NA,NA,NA,NA,NA
GO-20141492599,1/25/2014 5:00:00 AM,Bay-Cloverhill (169),NA,NA,NA,NA,NA,NA
GO-20141499515,2/7/2014 5:00:00 AM,Playter Estates-Danforth (67),NA,NA,NA,NA,NA,NA
GO-20141499515,2/7/2014 5:00:00 AM,Playter Estates-Danforth (67),NA,NA,NA,NA,NA,NA
GO-20141508981,2/11/2014 5:00:00 AM,Thorncliffe Park (55),NA,NA,NA,NA,NA,NA
GO-20149001208,1/1/2014 5:00:00 AM,Bay-Cloverhill (169),NA,NA,NA,NA,NA,NA
GO-20149001221,2/12/2014 5:00:00 AM,Corso Italia-Davenport (92),NA,NA,NA,NA,NA,NA
GO-20141537073,2/15/2014 5:00:00 AM,Kensington-Chinatown (78),NA,NA,NA,NA,NA,NA
GO-20141542732,2/16/2014 5:00:00 AM,Cabbagetown-South St.James Town (71),NA,NA,NA,NA,NA,NA
GO-20141546511,1/17/2014 5:00:00 AM,Woodbine Corridor (64),NA,NA,NA,NA,NA,NA
GO-20149001341,2/14/2014 5:00:00 AM,University (79),NA,NA,NA,NA,NA,NA
GO-20141545496,1/15/2014 5:00:00 AM,South Riverdale (70),NA,NA,NA,NA,NA,NA
GO-20141545179,2/16/2014 5:00:00 AM,Weston (113),NA,NA,NA,NA,NA,NA
GO-20149001330,2/16/2014 5:00:00 AM,Church-Wellesley (167),NA,NA,NA,NA,NA,NA
GO-20141564097,2/20/2014 5:00:00 AM,Dorset Park (126),NA,NA,NA,NA,NA,NA
GO-20149001446,2/19/2014 5:00:00 AM,Trinity-Bellwoods (81),NA,NA,NA,NA,NA,NA
GO-20141587267,2/23/2014 5:00:00 AM,Briar Hill-Belgravia (108),NA,NA,NA,NA,NA,NA
GO-20141590253,2/24/2014 5:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,NA,NA,NA,NA
GO-20149001553,1/18/2014 5:00:00 AM,Bay-Cloverhill (169),NA,NA,NA,NA,NA,NA
GO-20149001570,2/24/2014 5:00:00 AM,High Park North (88),NA,NA,NA,NA,NA,NA
GO-20141600543,2/25/2014 5:00:00 AM,Church-Wellesley (167),NA,NA,NA,NA,NA,NA
GO-20141609988,11/27/2013 5:00:00 AM,Kensington-Chinatown (78),NA,NA,NA,NA,NA,NA
GO-20141620477,2/23/2014 5:00:00 AM,Junction-Wallace Emerson (171),NA,NA,NA,NA,NA,NA
GO-20141620477,2/23/2014 5:00:00 AM,Junction-Wallace Emerson (171),NA,NA,NA,NA,NA,NA
GO-20141620477,2/23/2014 5:00:00 AM,Junction-Wallace Emerson (171),NA,NA,NA,NA,NA,NA
GO-20141634799,3/3/2014 5:00:00 AM,Regent Park (72),NA,NA,NA,NA,NA,NA
GO-20149001784,3/4/2014 5:00:00 AM,East End-Danforth (62),NA,NA,NA,NA,NA,NA
GO-20149001765,3/3/2014 5:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20149001820,3/5/2014 5:00:00 AM,Bay-Cloverhill (169),NA,NA,NA,NA,NA,NA
GO-20141649320,3/5/2014 5:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20141650747,3/6/2014 5:00:00 AM,Moss Park (73),NA,NA,NA,NA,NA,NA
GO-20149001820,3/5/2014 5:00:00 AM,Bay-Cloverhill (169),NA,NA,NA,NA,NA,NA
GO-20149001842,3/5/2014 5:00:00 AM,Moss Park (73),NA,NA,NA,NA,NA,NA
GO-20141656024,3/7/2014 5:00:00 AM,North Riverdale (68),NA,NA,NA,NA,NA,NA
GO-20149001867,3/8/2014 5:00:00 AM,Leaside-Bennington (56),NA,NA,NA,NA,NA,NA
GO-20149001884,3/8/2014 5:00:00 AM,Yonge-Bay Corridor (170),NA,NA,NA,NA,NA,NA
GO-20141670291,3/8/2014 5:00:00 AM,Annex (95),NA,NA,NA,NA,NA,NA
GO-20141669575,2/23/2014 5:00:00 AM,Junction Area (90),NA,NA,NA,NA,NA,NA
GO-20141677268,3/10/2014 4:00:00 AM,North St.James Town (74),NA,NA,NA,NA,NA,NA
GO-20141668687,3/8/2014 5:00:00 AM,Cabbagetown-South St.James Town (71),NA,NA,NA,NA,NA,NA
GO-20141675909,2/9/2013 5:00:00 AM,Kensington-Chinatown (78),NA,NA,NA,NA,NA,NA
GO-20149001917,3/7/2014 5:00:00 AM,Bay-Cloverhill (169),NA,NA,NA,NA,NA,NA
GO-20149002000,3/10/2014 4:00:00 AM,Runnymede-Bloor West Village (89),NA,NA,NA,NA,NA,NA
GO-20149002000,3/10/2014 4:00:00 AM,Runnymede-Bloor West Village (89),NA,NA,NA,NA,NA,NA
GO-20149001966,1/15/2014 5:00:00 AM,South Riverdale (70),NA,NA,NA,NA,NA,NA
GO-20141681258,3/10/2014 4:00:00 AM,Moss Park (73),NA,NA,NA,NA,NA,NA
GO-20141692241,3/8/2014 5:00:00 AM,Birchcliffe-Cliffside (122),NA,NA,NA,NA,NA,NA
GO-20141694393,3/11/2014 4:00:00 AM,Greenwood-Coxwell (65),NA,NA,NA,NA,NA,NA
GO-20149001985,3/12/2014 4:00:00 AM,Annex (95),NA,NA,NA,NA,NA,NA
GO-20141711138,3/16/2014 4:00:00 AM,North St.James Town (74),NA,NA,NA,NA,NA,NA
GO-20141740213,3/18/2014 4:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20141719595,3/16/2014 4:00:00 AM,Don Valley Village (47),NA,NA,NA,NA,NA,NA
GO-20149002177,3/19/2014 4:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20141731597,3/10/2014 4:00:00 AM,South Eglinton-Davisville (174),NA,NA,NA,NA,NA,NA
GO-20141736217,3/20/2014 4:00:00 AM,Cabbagetown-South St.James Town (71),NA,NA,NA,NA,NA,NA
GO-20149002225,3/19/2014 4:00:00 AM,Leaside-Bennington (56),NA,NA,NA,NA,NA,NA
GO-20141743873,3/14/2014 4:00:00 AM,Church-Wellesley (167),NA,NA,NA,NA,NA,NA
GO-20141742378,3/19/2014 4:00:00 AM,Yonge-Bay Corridor (170),NA,NA,NA,NA,NA,NA
GO-20149002225,3/19/2014 4:00:00 AM,Leaside-Bennington (56),NA,NA,NA,NA,NA,NA
GO-20141746457,3/21/2014 4:00:00 AM,Briar Hill-Belgravia (108),NA,NA,NA,NA,NA,NA
GO-20141752609,3/23/2014 4:00:00 AM,Annex (95),NA,NA,NA,NA,NA,NA
GO-20141760093,3/23/2014 4:00:00 AM,Markland Wood (12),NA,NA,NA,NA,NA,NA
GO-20141760643,3/24/2014 4:00:00 AM,Church-Wellesley (167),NA,NA,NA,NA,NA,NA
GO-20149002347,3/25/2014 4:00:00 AM,Yonge-Bay Corridor (170),NA,NA,NA,NA,NA,NA
GO-20141769705,1/11/2014 5:00:00 AM,Wellington Place (164),NA,NA,NA,NA,NA,NA
GO-20141769678,3/20/2014 4:00:00 AM,Thorncliffe Park (55),NA,NA,NA,NA,NA,NA
GO-20149002392,3/27/2014 4:00:00 AM,Kensington-Chinatown (78),NA,NA,NA,NA,NA,NA
GO-20141778180,3/27/2014 4:00:00 AM,O'Connor-Parkview (54),NA,NA,NA,NA,NA,NA
GO-20141778734,3/27/2014 4:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20149002410,3/28/2014 4:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20141791881,3/29/2014 4:00:00 AM,Cabbagetown-South St.James Town (71),NA,NA,NA,NA,NA,NA
GO-20141788268,3/18/2014 4:00:00 AM,Leaside-Bennington (56),NA,NA,NA,NA,NA,NA
GO-20141794391,3/25/2014 4:00:00 AM,Rosedale-Moore Park (98),NA,NA,NA,NA,NA,NA
GO-20141796490,3/30/2014 4:00:00 AM,Greenwood-Coxwell (65),NA,NA,NA,NA,NA,NA
GO-20149002440,3/30/2014 4:00:00 AM,Church-Wellesley (167),NA,NA,NA,NA,NA,NA
GO-20141802880,3/31/2014 4:00:00 AM,Palmerston-Little Italy (80),NA,NA,NA,NA,NA,NA
GO-20149002462,3/30/2014 4:00:00 AM,Playter Estates-Danforth (67),NA,NA,NA,NA,NA,NA
GO-20141799234,3/25/2014 4:00:00 AM,Briar Hill-Belgravia (108),NA,NA,NA,NA,NA,NA
GO-20141803189,12/1/2013 5:00:00 AM,Yonge-Doris (151),NA,NA,NA,NA,NA,NA
GO-20149002489,12/1/2013 5:00:00 AM,Wychwood (94),NA,NA,NA,NA,NA,NA
GO-20141809722,4/1/2014 4:00:00 AM,South Riverdale (70),NA,NA,NA,NA,NA,NA
GO-20141809196,1/31/2014 5:00:00 AM,Church-Wellesley (167),NA,NA,NA,NA,NA,NA
GO-20141810819,4/1/2014 4:00:00 AM,Blake-Jones (69),NA,NA,NA,NA,NA,NA
GO-20149002543,3/31/2014 4:00:00 AM,Etobicoke City Centre (159),NA,NA,NA,NA,NA,NA
GO-20141821281,4/3/2014 4:00:00 AM,Greenwood-Coxwell (65),NA,NA,NA,NA,NA,NA
GO-20141819819,4/2/2014 4:00:00 AM,Victoria Village (43),NA,NA,NA,NA,NA,NA
GO-20149002553,4/3/2014 4:00:00 AM,Blake-Jones (69),NA,NA,NA,NA,NA,NA
GO-20141822406,4/3/2014 4:00:00 AM,High Park North (88),NA,NA,NA,NA,NA,NA
GO-20141825417,4/1/2014 4:00:00 AM,Clairlea-Birchmount (120),NA,NA,NA,NA,NA,NA
GO-20141825417,4/1/2014 4:00:00 AM,Clairlea-Birchmount (120),NA,NA,NA,NA,NA,NA
GO-20141825417,4/1/2014 4:00:00 AM,Clairlea-Birchmount (120),NA,NA,NA,NA,NA,NA
GO-20141825417,4/1/2014 4:00:00 AM,Clairlea-Birchmount (120),NA,NA,NA,NA,NA,NA
GO-20141825417,4/1/2014 4:00:00 AM,Clairlea-Birchmount (120),NA,NA,NA,NA,NA,NA
GO-20141822324,1/27/2014 5:00:00 AM,Church-Wellesley (167),NA,NA,NA,NA,NA,NA
GO-20141828757,4/4/2014 4:00:00 AM,Cabbagetown-South St.James Town (71),NA,NA,NA,NA,NA,NA
GO-20149002569,4/2/2014 4:00:00 AM,Blake-Jones (69),NA,NA,NA,NA,NA,NA
GO-20141831633,4/5/2014 4:00:00 AM,Rockcliffe-Smythe (111),NA,NA,NA,NA,NA,NA
GO-20141832158,4/4/2014 4:00:00 AM,Blake-Jones (69),NA,NA,NA,NA,NA,NA
GO-20149002580,4/4/2014 4:00:00 AM,Little Portugal (84),NA,NA,NA,NA,NA,NA
GO-20141837662,4/5/2014 4:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20149002612,4/6/2014 4:00:00 AM,Wellington Place (164),NA,NA,NA,NA,NA,NA
GO-20149002607,3/18/2013 4:00:00 AM,Fort York-Liberty Village (163),NA,NA,NA,NA,NA,NA
GO-20141852381,4/8/2014 4:00:00 AM,Church-Wellesley (167),NA,NA,NA,NA,NA,NA
GO-20149002617,4/8/2014 4:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20141850531,4/7/2014 4:00:00 AM,Moss Park (73),NA,NA,NA,NA,NA,NA
GO-20149002631,3/6/2014 5:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20149002636,4/8/2014 4:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20149002669,4/8/2014 4:00:00 AM,Yonge-Bay Corridor (170),NA,NA,NA,NA,NA,NA
