EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-20141260831,1/1/2014 5:00:00 AM,West Hill (136),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141263750,1/1/2014 5:00:00 AM,Annex (95),Break and Enter,B&E,NA,NA,NA,NA
GO-20141264862,1/1/2014 5:00:00 AM,Bendale-Glen Andrew (156),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141261949,1/1/2014 5:00:00 AM,O'Connor-Parkview (54),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141262372,1/1/2014 5:00:00 AM,Yonge-Bay Corridor (170),Break and Enter,B&E,NA,NA,NA,NA
GO-20141262997,1/1/2014 5:00:00 AM,Birchcliffe-Cliffside (122),Break and Enter,B&E,NA,NA,NA,NA
GO-20141260701,1/1/2014 5:00:00 AM,South Riverdale (70),Break and Enter,B&E,NA,NA,NA,NA
GO-20141263143,1/1/2014 5:00:00 AM,Willowdale West (37),Break and Enter,Unlawfully In Dwelling-House,NA,NA,NA,NA
GO-20141260521,1/1/2014 5:00:00 AM,Trinity-Bellwoods (81),Break and Enter,B&E,NA,NA,NA,NA
GO-20141260291,1/1/2014 5:00:00 AM,Cabbagetown-South St.James Town (71),Break and Enter,B&E,NA,NA,NA,NA
GO-20141260233,1/1/2014 5:00:00 AM,Dorset Park (126),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141263220,1/1/2014 5:00:00 AM,West Hill (136),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141261478,1/1/2014 5:00:00 AM,Newtonbrook West (36),Break and Enter,B&E,NA,NA,NA,NA
GO-20141260322,12/31/2013 5:00:00 AM,Islington (158),Break and Enter,B&E,NA,NA,NA,NA
GO-20141263544,12/26/2013 5:00:00 AM,Harbourfront-CityPlace (165),Break and Enter,B&E,NA,NA,NA,NA
GO-20141264377,12/30/2013 5:00:00 AM,Bayview Village (52),Break and Enter,B&E,NA,NA,NA,NA
GO-20141259602,12/31/2013 5:00:00 AM,Oakridge (121),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141260079,12/31/2013 5:00:00 AM,South Riverdale (70),Break and Enter,B&E,NA,NA,NA,NA
GO-20141261592,1/1/2014 5:00:00 AM,South Parkdale (85),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141268287,12/30/2013 5:00:00 AM,NSA,Break and Enter,B&E,NA,NA,NA,NA
GO-20141268842,12/31/2013 5:00:00 AM,West Rouge (143),Break and Enter,B&E,NA,NA,NA,NA
GO-20141267229,12/31/2013 5:00:00 AM,High Park-Swansea (87),Break and Enter,B&E,NA,NA,NA,NA
GO-20141266557,12/31/2013 5:00:00 AM,Bayview Village (52),Break and Enter,B&E,NA,NA,NA,NA
GO-20141270141,12/23/2013 5:00:00 AM,Stonegate-Queensway (16),Break and Enter,B&E,NA,NA,NA,NA
GO-20141268764,12/31/2013 5:00:00 AM,Bayview Village (52),Break and Enter,B&E,NA,NA,NA,NA
GO-20141267188,1/1/2014 5:00:00 AM,Englemount-Lawrence (32),Break and Enter,B&E,NA,NA,NA,NA
GO-20141268182,12/24/2013 5:00:00 AM,Avondale (153),Break and Enter,B&E,NA,NA,NA,NA
GO-20141268004,1/2/2014 5:00:00 AM,Bayview Village (52),Break and Enter,B&E,NA,NA,NA,NA
GO-20141266034,1/1/2014 5:00:00 AM,Islington (158),Break and Enter,B&E,NA,NA,NA,NA
GO-20141266644,1/1/2014 5:00:00 AM,Kensington-Chinatown (78),Break and Enter,B&E,NA,NA,NA,NA
GO-20141267655,1/2/2014 5:00:00 AM,Fort York-Liberty Village (163),Break and Enter,B&E,NA,NA,NA,NA
GO-20141268091,1/1/2014 5:00:00 AM,New Toronto (18),Break and Enter,B&E,NA,NA,NA,NA
GO-20141267473,1/2/2014 5:00:00 AM,Corso Italia-Davenport (92),Break and Enter,B&E,NA,NA,NA,NA
GO-20141265560,1/2/2014 5:00:00 AM,Annex (95),Break and Enter,B&E,NA,NA,NA,NA
GO-20141265148,1/2/2014 5:00:00 AM,South Parkdale (85),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20142001841,1/2/2014 5:00:00 AM,NSA,Break and Enter,B&E,NA,NA,NA,NA
GO-20141270749,1/2/2014 5:00:00 AM,Wexford/Maryvale (119),Break and Enter,B&E,NA,NA,NA,NA
GO-20141270294,1/2/2014 5:00:00 AM,Don Valley Village (47),Break and Enter,B&E,NA,NA,NA,NA
GO-20141270005,1/2/2014 5:00:00 AM,Bridle Path-Sunnybrook-York Mills (41),Break and Enter,B&E,NA,NA,NA,NA
GO-2014141268389,1/2/2014 5:00:00 AM,Don Valley Village (47),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141269894,1/2/2014 5:00:00 AM,Dorset Park (126),Break and Enter,B&E,NA,NA,NA,NA
GO-20141268624,1/2/2014 5:00:00 AM,Don Valley Village (47),Break and Enter,B&E,NA,NA,NA,NA
GO-20141269166,1/2/2014 5:00:00 AM,Briar Hill-Belgravia (108),Break and Enter,B&E,NA,NA,NA,NA
GO-20141268762,1/2/2014 5:00:00 AM,Flemingdon Park (44),Break and Enter,B&E,NA,NA,NA,NA
GO-20141274349,1/3/2014 5:00:00 AM,Malvern East (146),Break and Enter,B&E,NA,NA,NA,NA
GO-20141272773,1/3/2014 5:00:00 AM,Dufferin Grove (83),Break and Enter,B&E,NA,NA,NA,NA
GO-20141276830,1/3/2014 5:00:00 AM,Westminster-Branson (35),Break and Enter,B&E,NA,NA,NA,NA
GO-20141272883,12/19/2013 5:00:00 AM,Annex (95),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141272358,12/31/2013 5:00:00 AM,Trinity-Bellwoods (81),Break and Enter,B&E,NA,NA,NA,NA
GO-20141272789,1/3/2014 5:00:00 AM,Annex (95),Break and Enter,B&E,NA,NA,NA,NA
GO-20141272106,1/3/2014 5:00:00 AM,Runnymede-Bloor West Village (89),Break and Enter,B&E,NA,NA,NA,NA
GO-20141271597,1/3/2014 5:00:00 AM,Banbury-Don Mills (42),Break and Enter,B&E,NA,NA,NA,NA
GO-20141271314,1/3/2014 5:00:00 AM,Leaside-Bennington (56),Break and Enter,B&E,NA,NA,NA,NA
GO-20141276157,1/3/2014 5:00:00 AM,East L'Amoreaux (148),Break and Enter,B&E,NA,NA,NA,NA
GO-20141273151,1/2/2014 5:00:00 AM,North St.James Town (74),Break and Enter,B&E,NA,NA,NA,NA
GO-20141271424,1/3/2014 5:00:00 AM,Yonge-Bay Corridor (170),Break and Enter,B&E,NA,NA,NA,NA
GO-20141272919,1/3/2014 5:00:00 AM,East End-Danforth (62),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20142,1/2/2014 5:00:00 AM,Parkwoods-O'Connor Hills (149),Break and Enter,B&E,NA,NA,NA,NA
GO-20141217261,1/2/2014 5:00:00 AM,North St.James Town (74),Break and Enter,B&E,NA,NA,NA,NA
GO-20141276547,1/3/2014 5:00:00 AM,Forest Hill North (102),Break and Enter,B&E,NA,NA,NA,NA
GO-20141275796,1/3/2014 5:00:00 AM,Centennial Scarborough (133),Break and Enter,B&E,NA,NA,NA,NA
GO-20141275533,12/18/2013 5:00:00 AM,Fort York-Liberty Village (163),Break and Enter,B&E,NA,NA,NA,NA
GO-20141275653,1/3/2014 5:00:00 AM,East L'Amoreaux (148),Break and Enter,B&E,NA,NA,NA,NA
GO-2014946295,1/3/2014 5:00:00 AM,Roncesvalles (86),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141268130,1/3/2014 5:00:00 AM,Maple Leaf (29),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141282268,1/4/2014 5:00:00 AM,St.Andrew-Windfields (40),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141279637,12/25/2013 5:00:00 AM,Bedford Park-Nortown (39),Break and Enter,B&E,NA,NA,NA,NA
GO-20141282232,1/4/2014 5:00:00 AM,Annex (95),Break and Enter,B&E,NA,NA,NA,NA
GO-20141283384,1/4/2014 5:00:00 AM,Casa Loma (96),Break and Enter,B&E,NA,NA,NA,NA
GO-20141280311,1/3/2014 5:00:00 AM,Newtonbrook East (50),Break and Enter,B&E,NA,NA,NA,NA
GO-20141280897,1/2/2014 5:00:00 AM,North St.James Town (74),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141280182,1/2/2014 5:00:00 AM,Bayview Village (52),Break and Enter,B&E,NA,NA,NA,NA
GO-20141280834,1/4/2014 5:00:00 AM,Edenbridge-Humber Valley (9),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141280103,1/3/2014 5:00:00 AM,Forest Hill South (101),Break and Enter,B&E,NA,NA,NA,NA
GO-20141278997,1/3/2014 5:00:00 AM,Downtown Yonge East (168),Break and Enter,B&E,NA,NA,NA,NA
GO-20141278003,1/4/2014 5:00:00 AM,Yonge-Bay Corridor (170),Break and Enter,B&E,NA,NA,NA,NA
GO-20141278444,1/4/2014 5:00:00 AM,Downtown Yonge East (168),Break and Enter,B&E,NA,NA,NA,NA
GO-20141278917,1/3/2014 5:00:00 AM,Downtown Yonge East (168),Break and Enter,B&E,NA,NA,NA,NA
GO-20141282457,1/4/2014 5:00:00 AM,East Willowdale (152),Break and Enter,B&E,NA,NA,NA,NA
GO-20141275615,12/30/2013 5:00:00 AM,University (79),Break and Enter,B&E,NA,NA,NA,NA
GO-20141288085,1/5/2014 5:00:00 AM,West Hill (136),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141284022,1/5/2014 5:00:00 AM,Briar Hill-Belgravia (108),Break and Enter,B&E,NA,NA,NA,NA
GO-20141283662,1/5/2014 5:00:00 AM,West Hill (136),Break and Enter,Unlawfully In Dwelling-House,NA,NA,NA,NA
GO-20141285396,12/26/2013 5:00:00 AM,South Riverdale (70),Break and Enter,B&E,NA,NA,NA,NA
GO-20141288003,12/21/2013 5:00:00 AM,Wellington Place (164),Break and Enter,B&E,NA,NA,NA,NA
GO-20141282428,1/4/2014 5:00:00 AM,Bridle Path-Sunnybrook-York Mills (41),Break and Enter,B&E,NA,NA,NA,NA
GO-20141283746,1/5/2014 5:00:00 AM,Mimico-Queensway (160),Break and Enter,B&E,NA,NA,NA,NA
GO-20141284542,1/5/2014 5:00:00 AM,Moss Park (73),Break and Enter,B&E,NA,NA,NA,NA
GO-20141291159,1/6/2014 5:00:00 AM,Don Valley Village (47),Break and Enter,B&E,NA,NA,NA,NA
GO-20141293524,1/6/2014 5:00:00 AM,Bendale-Glen Andrew (156),Break and Enter,B&E,NA,NA,NA,NA
GO-20141293824,1/6/2014 5:00:00 AM,Victoria Village (43),Break and Enter,B&E W'Intent,NA,NA,NA,NA
GO-20141290610,1/5/2014 5:00:00 AM,Morningside Heights (144),Break and Enter,B&E,NA,NA,NA,NA
