EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-2004111878,1/3/2004 5:00:00 AM,Rosedale-Moore Park (98),NA,NA,NA,NA,NA,NA
GO-2004136086,1/8/2004 5:00:00 AM,Malvern East (146),NA,NA,NA,NA,NA,NA
GO-2004125755,1/8/2004 5:00:00 AM,Woburn North (142),NA,NA,NA,NA,NA,NA
GO-2004148619,1/25/2004 5:00:00 AM,Morningside Heights (144),NA,NA,NA,NA,NA,NA
GO-2004148623,1/25/2004 5:00:00 AM,Junction-Wallace Emerson (171),NA,NA,NA,NA,NA,NA
GO-2004152518,2/20/2004 5:00:00 AM,Oakdale-Beverley Heights (154),NA,NA,NA,NA,NA,NA
GO-2004152518,2/20/2004 5:00:00 AM,Oakdale-Beverley Heights (154),NA,NA,NA,NA,NA,NA
GO-2004133635,2/21/2004 5:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,NA,NA,NA,NA
GO-2004172092,2/21/2004 5:00:00 AM,Oakdale-Beverley Heights (154),NA,NA,NA,NA,NA,NA
GO-2004218803,3/3/2004 5:00:00 AM,Morningside Heights (144),NA,NA,NA,NA,NA,NA
GO-2004301868,3/3/2004 5:00:00 AM,Old East York (58),NA,NA,NA,NA,NA,NA
GO-2004218585,3/3/2004 5:00:00 AM,Agincourt North (129),NA,NA,NA,NA,NA,NA
GO-2004200779,3/4/2004 5:00:00 AM,Clairlea-Birchmount (120),NA,NA,NA,NA,NA,NA
GO-2004229133,3/13/2004 5:00:00 AM,Woburn North (142),NA,NA,NA,NA,NA,NA
GO-2004219659,3/18/2004 5:00:00 AM,Bedford Park-Nortown (39),NA,NA,NA,NA,NA,NA
GO-2004219687,3/24/2004 5:00:00 AM,Golfdale-Cedarbrae-Woburn (141),NA,NA,NA,NA,NA,NA
GO-2004256410,4/1/2004 5:00:00 AM,Moss Park (73),NA,NA,NA,NA,NA,NA
GO-2004250857,4/13/2004 4:00:00 AM,Elms-Old Rexdale (5),NA,NA,NA,NA,NA,NA
GO-2004350484,5/1/2004 4:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,NA,NA,NA,NA
GO-2004311851,5/15/2004 4:00:00 AM,Black Creek (24),NA,NA,NA,NA,NA,NA
GO-2004311870,5/19/2004 4:00:00 AM,Alderwood (20),NA,NA,NA,NA,NA,NA
GO-2004374908,5/20/2004 4:00:00 AM,Yorkdale-Glen Park (31),NA,NA,NA,NA,NA,NA
GO-2004408720,5/21/2004 4:00:00 AM,Thistletown-Beaumond Heights (3),NA,NA,NA,NA,NA,NA
GO-2004374867,5/21/2004 4:00:00 AM,Regent Park (72),NA,NA,NA,NA,NA,NA
GO-2004308782,5/22/2004 4:00:00 AM,Maple Leaf (29),NA,NA,NA,NA,NA,NA
GO-2004418221,5/25/2004 4:00:00 AM,Roncesvalles (86),NA,NA,NA,NA,NA,NA
GO-2004456650,6/1/2004 4:00:00 AM,Moss Park (73),NA,NA,NA,NA,NA,NA
GO-2004455137,6/4/2004 4:00:00 AM,South Parkdale (85),NA,NA,NA,NA,NA,NA
GO-2004456829,6/18/2004 4:00:00 AM,Moss Park (73),NA,NA,NA,NA,NA,NA
GO-2004510813,6/19/2004 4:00:00 AM,Pelmo Park-Humberlea (23),NA,NA,NA,NA,NA,NA
GO-2004564223,7/1/2004 4:00:00 AM,Black Creek (24),NA,NA,NA,NA,NA,NA
GO-2004565547,7/5/2004 4:00:00 AM,Oakridge (121),NA,NA,NA,NA,NA,NA
GO-2004565561,7/7/2004 4:00:00 AM,Stonegate-Queensway (16),NA,NA,NA,NA,NA,NA
GO-2004564251,7/8/2004 4:00:00 AM,Rustic (28),NA,NA,NA,NA,NA,NA
GO-2004565588,7/9/2004 4:00:00 AM,Yonge-Doris (151),NA,NA,NA,NA,NA,NA
GO-2004986698,7/12/2004 4:00:00 AM,Malvern East (146),NA,NA,NA,NA,NA,NA
GO-2004592201,7/21/2004 4:00:00 AM,Hillcrest Village (48),NA,NA,NA,NA,NA,NA
GO-2004593866,7/23/2004 4:00:00 AM,Junction Area (90),NA,NA,NA,NA,NA,NA
GO-2004594159,7/24/2004 4:00:00 AM,Moss Park (73),NA,NA,NA,NA,NA,NA
GO-2004607864,8/5/2004 4:00:00 AM,Junction-Wallace Emerson (171),NA,NA,NA,NA,NA,NA
GO-2004616055,8/18/2004 4:00:00 AM,Rustic (28),NA,NA,NA,NA,NA,NA
GO-2004605174,8/19/2004 4:00:00 AM,Briar Hill-Belgravia (108),NA,NA,NA,NA,NA,NA
GO-2004635798,8/30/2004 4:00:00 AM,Moss Park (73),NA,NA,NA,NA,NA,NA
GO-2004592255,8/30/2004 4:00:00 AM,Highland Creek (134),NA,NA,NA,NA,NA,NA
GO-2004642839,8/31/2004 4:00:00 AM,Humbermede (22),NA,NA,NA,NA,NA,NA
GO-2004642110,9/5/2004 4:00:00 AM,Kingsview Village-The Westway (6),NA,NA,NA,NA,NA,NA
GO-2004650681,9/21/2004 4:00:00 AM,West Humber-Clairville (1),NA,NA,NA,NA,NA,NA
GO-2004633558,9/22/2004 4:00:00 AM,York University Heights (27),NA,NA,NA,NA,NA,NA
GO-2004676448,10/8/2004 4:00:00 AM,South Riverdale (70),NA,NA,NA,NA,NA,NA
GO-2004683174,10/15/2004 4:00:00 AM,Rustic (28),NA,NA,NA,NA,NA,NA
GO-2004643900,10/21/2004 4:00:00 AM,High Park North (88),NA,NA,NA,NA,NA,NA
GO-2004696852,10/27/2004 4:00:00 AM,Mount Pleasant East (99),NA,NA,NA,NA,NA,NA
GO-2004697185,11/12/2004 5:00:00 AM,Corso Italia-Davenport (92),NA,NA,NA,NA,NA,NA
GO-2004734705,12/1/2004 5:00:00 AM,Dovercourt Village (172),NA,NA,NA,NA,NA,NA
GO-2004734705,12/1/2004 5:00:00 AM,Dovercourt Village (172),NA,NA,NA,NA,NA,NA
GO-2004735933,12/2/2004 5:00:00 AM,Centennial Scarborough (133),NA,NA,NA,NA,NA,NA
GO-2004734029,12/3/2004 5:00:00 AM,Old East York (58),NA,NA,NA,NA,NA,NA
GO-2004735980,12/11/2004 5:00:00 AM,St.Andrew-Windfields (40),NA,NA,NA,NA,NA,NA
GO-2004730198,12/11/2004 5:00:00 AM,University (79),NA,NA,NA,NA,NA,NA
GO-2004775505,12/12/2004 5:00:00 AM,O'Connor-Parkview (54),NA,NA,NA,NA,NA,NA
GO-2004811677,12/19/2004 5:00:00 AM,Kennedy Park (124),NA,NA,NA,NA,NA,NA
GO-2004736004,12/19/2004 5:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-2004730003,12/20/2004 5:00:00 AM,Flemingdon Park (44),NA,NA,NA,NA,NA,NA
GO-2004860547,12/31/2004 5:00:00 AM,Cliffcrest (123),NA,NA,NA,NA,NA,NA
GO-2005879569,1/14/2005 5:00:00 AM,Milliken (130),NA,NA,NA,NA,NA,NA
GO-2005910043,1/18/2005 5:00:00 AM,Dovercourt Village (172),NA,NA,NA,NA,NA,NA
GO-2005920738,1/21/2005 5:00:00 AM,West Queen West (162),NA,NA,NA,NA,NA,NA
GO-2005920738,1/21/2005 5:00:00 AM,West Queen West (162),NA,NA,NA,NA,NA,NA
GO-20051003568,1/24/2005 5:00:00 AM,Steeles (116),NA,NA,NA,NA,NA,NA
GO-2005812174,1/26/2005 5:00:00 AM,Black Creek (24),NA,NA,NA,NA,NA,NA
GO-2005733656,2/11/2005 5:00:00 AM,Weston-Pelham Park (91),NA,NA,NA,NA,NA,NA
GO-2005951634,2/11/2005 5:00:00 AM,Dorset Park (126),NA,NA,NA,NA,NA,NA
GO-2005736672,2/12/2005 5:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,NA,NA,NA,NA
GO-2005768554,2/15/2005 5:00:00 AM,Dorset Park (126),NA,NA,NA,NA,NA,NA
GO-2005918414,2/15/2005 5:00:00 AM,North St.James Town (74),NA,NA,NA,NA,NA,NA
GO-2005929672,2/18/2005 5:00:00 AM,Mimico-Queensway (160),NA,NA,NA,NA,NA,NA
GO-2005969241,2/28/2005 5:00:00 AM,Newtonbrook West (36),NA,NA,NA,NA,NA,NA
GO-2005953786,3/5/2005 5:00:00 AM,Banbury-Don Mills (42),NA,NA,NA,NA,NA,NA
GO-2005745939,3/11/2005 5:00:00 AM,Stonegate-Queensway (16),NA,NA,NA,NA,NA,NA
GO-2005758352,3/25/2005 5:00:00 AM,Church-Wellesley (167),NA,NA,NA,NA,NA,NA
GO-2005884190,4/13/2005 4:00:00 AM,Birchcliffe-Cliffside (122),NA,NA,NA,NA,NA,NA
GO-20051052948,4/18/2005 4:00:00 AM,South Parkdale (85),NA,NA,NA,NA,NA,NA
GO-20051006774,4/19/2005 4:00:00 AM,Harbourfront-CityPlace (165),NA,NA,NA,NA,NA,NA
GO-2005739652,4/24/2005 4:00:00 AM,Humber Summit (21),NA,NA,NA,NA,NA,NA
GO-2005736140,5/4/2005 4:00:00 AM,Agincourt North (129),NA,NA,NA,NA,NA,NA
GO-2005737037,5/5/2005 4:00:00 AM,Glenfield-Jane Heights (25),NA,NA,NA,NA,NA,NA
GO-2005739574,5/5/2005 4:00:00 AM,Junction-Wallace Emerson (171),NA,NA,NA,NA,NA,NA
GO-2005756176,5/8/2005 4:00:00 AM,Danforth (66),NA,NA,NA,NA,NA,NA
GO-20051001532,5/14/2005 4:00:00 AM,Church-Wellesley (167),NA,NA,NA,NA,NA,NA
GO-2005863844,5/15/2005 4:00:00 AM,Agincourt South-Malvern West (128),NA,NA,NA,NA,NA,NA
GO-2005988453,5/18/2005 4:00:00 AM,West Hill (136),NA,NA,NA,NA,NA,NA
GO-2005781084,5/27/2005 4:00:00 AM,Glenfield-Jane Heights (25),NA,NA,NA,NA,NA,NA
GO-2005760646,6/12/2005 4:00:00 AM,East End-Danforth (62),NA,NA,NA,NA,NA,NA
GO-20051000509,6/24/2005 4:00:00 AM,Black Creek (24),NA,NA,NA,NA,NA,NA
GO-2005834756,6/25/2005 4:00:00 AM,Englemount-Lawrence (32),NA,NA,NA,NA,NA,NA
GO-20051086009,6/29/2005 4:00:00 AM,Dovercourt Village (172),NA,NA,NA,NA,NA,NA
GO-2005884293,7/6/2005 4:00:00 AM,Humbermede (22),NA,NA,NA,NA,NA,NA
GO-20051150352,7/15/2005 4:00:00 AM,West Hill (136),NA,NA,NA,NA,NA,NA
GO-2005863854,7/17/2005 4:00:00 AM,Oakridge (121),NA,NA,NA,NA,NA,NA
GO-20051059962,7/19/2005 4:00:00 AM,Rockcliffe-Smythe (111),NA,NA,NA,NA,NA,NA
GO-20051070618,7/20/2005 4:00:00 AM,Parkwoods-O'Connor Hills (149),NA,NA,NA,NA,NA,NA
GO-20051135001,7/30/2005 4:00:00 AM,Englemount-Lawrence (32),NA,NA,NA,NA,NA,NA
GO-20051033503,7/30/2005 4:00:00 AM,East L'Amoreaux (148),NA,NA,NA,NA,NA,NA
GO-20051148137,7/31/2005 4:00:00 AM,Downtown Yonge East (168),NA,NA,NA,NA,NA,NA
GO-20051041793,8/3/2005 4:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,NA,NA,NA,NA
GO-20051102449,8/5/2005 4:00:00 AM,L'Amoreaux West (147),NA,NA,NA,NA,NA,NA
GO-20051068304,8/7/2005 4:00:00 AM,Cabbagetown-South St.James Town (71),NA,NA,NA,NA,NA,NA
GO-20051068304,8/7/2005 4:00:00 AM,Cabbagetown-South St.James Town (71),NA,NA,NA,NA,NA,NA
GO-2005985817,8/13/2005 4:00:00 AM,Humber Heights-Westmount (8),NA,NA,NA,NA,NA,NA
GO-20051156816,8/15/2005 4:00:00 AM,Cabbagetown-South St.James Town (71),NA,NA,NA,NA,NA,NA
GO-20051072514,8/16/2005 4:00:00 AM,Flemingdon Park (44),NA,NA,NA,NA,NA,NA
GO-2005117846,8/18/2005 4:00:00 AM,Bendale-Glen Andrew (156),NA,NA,NA,NA,NA,NA
GO-20051183577,8/20/2005 4:00:00 AM,New Toronto (18),NA,NA,NA,NA,NA,NA
GO-20051189864,8/25/2005 4:00:00 AM,Scarborough Village (139),NA,NA,NA,NA,NA,NA
GO-2005761120,8/30/2005 4:00:00 AM,Glenfield-Jane Heights (25),NA,NA,NA,NA,NA,NA
GO-20051178414,8/31/2005 4:00:00 AM,Moss Park (73),NA,NA,NA,NA,NA,NA
GO-20051389771,9/6/2005 4:00:00 AM,Banbury-Don Mills (42),NA,NA,NA,NA,NA,NA
GO-20051101797,9/8/2005 4:00:00 AM,Rustic (28),NA,NA,NA,NA,NA,NA
GO-2005739598,9/9/2005 4:00:00 AM,Fort York-Liberty Village (163),NA,NA,NA,NA,NA,NA
GO-20051096519,9/10/2005 4:00:00 AM,Black Creek (24),NA,NA,NA,NA,NA,NA
GO-20051203047,9/13/2005 4:00:00 AM,Glenfield-Jane Heights (25),NA,NA,NA,NA,NA,NA
GO-20051156513,9/16/2005 4:00:00 AM,Elms-Old Rexdale (5),NA,NA,NA,NA,NA,NA
GO-20051156513,9/16/2005 4:00:00 AM,Elms-Old Rexdale (5),NA,NA,NA,NA,NA,NA
GO-20051139553,9/16/2005 4:00:00 AM,South Parkdale (85),NA,NA,NA,NA,NA,NA
GO-20051156513,9/16/2005 4:00:00 AM,Elms-Old Rexdale (5),NA,NA,NA,NA,NA,NA
GO-20051158528,9/19/2005 4:00:00 AM,Clanton Park (33),NA,NA,NA,NA,NA,NA
GO-20051228892,9/22/2005 4:00:00 AM,Old East York (58),NA,NA,NA,NA,NA,NA
GO-20051141576,10/1/2005 4:00:00 AM,West Hill (136),NA,NA,NA,NA,NA,NA
GO-20051325246,10/22/2005 4:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,NA,NA,NA,NA
GO-20051265274,10/23/2005 4:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,NA,NA,NA,NA
GO-20051265274,10/23/2005 4:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,NA,NA,NA,NA
GO-20051317338,11/1/2005 5:00:00 AM,L'Amoreaux West (147),NA,NA,NA,NA,NA,NA
GO-20051293148,11/2/2005 5:00:00 AM,O'Connor-Parkview (54),NA,NA,NA,NA,NA,NA
GO-20051283750,11/5/2005 5:00:00 AM,South Parkdale (85),NA,NA,NA,NA,NA,NA
GO-20051345445,11/9/2005 5:00:00 AM,Briar Hill-Belgravia (108),NA,NA,NA,NA,NA,NA
GO-20051356083,11/12/2005 5:00:00 AM,Avondale (153),NA,NA,NA,NA,NA,NA
GO-20051322417,11/14/2005 5:00:00 AM,Weston-Pelham Park (91),NA,NA,NA,NA,NA,NA
GO-20051258191,11/18/2005 5:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,NA,NA,NA,NA
