neighbourhood_158,occ_year,crime_category,incidents,total_incidents,category_share,weighted_risk_score,safety_score,safety_rank,safety_category,dominant_crime_category
Agincourt North (129),2014,Assault,73,233,0.3133,319.19,82.3,97,Very Safe,Assault
Agincourt North (129),2014,Auto Theft,17,233,0.073,319.19,82.3,97,Very Safe,Assault
Agincourt North (129),2014,Break and Enter,45,233,0.1931,319.19,82.3,97,Very Safe,Assault
Agincourt North (129),2014,NonMCI,63,233,0.2704,319.19,82.3,97,Very Safe,Assault
Agincourt North (129),2014,Robbery,34,233,0.1459,319.19,82.3,97,Very Safe,Assault
Agincourt North (129),2014,Theft Over,1,233,0.0043,319.19,82.3,97,Very Safe,Assault
Agincourt South-Malvern West (128),2014,Assault,105,323,0.3251,432.56,73.8,119,Safe,Assault
Agincourt South-Malvern West (128),2014,Auto Theft,33,323,0.1022,432.56,73.8,119,Safe,Assault
Agincourt South-Malvern West (128),2014,Break and Enter,73,323,0.226,432.56,73.8,119,Safe,Assault
Agincourt South-Malvern West (128),2014,NonMCI,73,323,0.226,432.56,73.8,119,Safe,Assault
Agincourt South-Malvern West (128),2014,Robbery,20,323,0.0619,432.56,73.8,119,Safe,Assault
Agincourt South-Malvern West (128),2014,Theft Over,19,323,0.0588,432.56,73.8,119,Safe,Assault
Alderwood (20),2014,Assault,43,120,0.3583,157.42,94.5,18,Very Safe,Assault
Alderwood (20),2014,Auto Theft,10,120,0.0833,157.42,94.5,18,Very Safe,Assault
Alderwood (20),2014,Break and Enter,19,120,0.1583,157.42,94.5,18,Very Safe,Assault
Alderwood (20),2014,NonMCI,37,120,0.3083,157.42,94.5,18,Very Safe,Assault
Alderwood (20),2014,Robbery,4,120,0.0333,157.42,94.5,18,Very Safe,Assault
Alderwood (20),2014,Theft Over,7,120,0.0583,157.42,94.5,18,Very Safe,Assault
Annex (95),2014,Assault,217,574,0.378,823.2,44.4,150,Moderate,Assault
Annex (95),2014,Auto Theft,13,574,0.0226,823.2,44.4,150,Moderate,Assault
Annex (95),2014,Break and Enter,156,574,0.2718,823.2,44.4,150,Moderate,Assault
Annex (95),2014,NonMCI,127,574,0.2213,823.2,44.4,150,Moderate,Assault
Annex (95),2014,Robbery,42,574,0.0732,823.2,44.4,150,Moderate,Assault
Annex (95),2014,Theft Over,19,574,0.0331,823.2,44.4,150,Moderate,Assault
Avondale (153),2014,Assault,30,65,0.4615,96.42,99.1,2,Very Safe,Assault
Avondale (153),2014,Auto Theft,13,65,0.2,96.42,99.1,2,Very Safe,Assault
Avondale (153),2014,Break and Enter,10,65,0.1538,96.42,99.1,2,Very Safe,Assault
Avondale (153),2014,NonMCI,8,65,0.1231,96.42,99.1,2,Very Safe,Assault
Avondale (153),2014,Robbery,2,65,0.0308,96.42,99.1,2,Very Safe,Assault
Avondale (153),2014,Theft Over,2,65,0.0308,96.42,99.1,2,Very Safe,Assault
Banbury-Don Mills (42),2014,Assault,52,228,0.2281,280.07,85.3,74,Very Safe,NonMCI
Banbury-Don Mills (42),2014,Auto Theft,19,228,0.0833,280.07,85.3,74,Very Safe,NonMCI
Banbury-Don Mills (42),2014,Break and Enter,66,228,0.2895,280.07,85.3,74,Very Safe,NonMCI
Banbury-Don Mills (42),2014,NonMCI,72,228,0.3158,280.07,85.3,74,Very Safe,NonMCI
Banbury-Don Mills (42),2014,Robbery,10,228,0.0439,280.07,85.3,74,Very Safe,NonMCI
Banbury-Don Mills (42),2014,Theft Over,9,228,0.0395,280.07,85.3,74,Very Safe,NonMCI
Bathurst Manor (34),2014,Assault,51,169,0.3018,221.41,89.7,53,Very Safe,Assault
Bathurst Manor (34),2014,Auto Theft,36,169,0.213,221.41,89.7,53,Very Safe,Assault
Bathurst Manor (34),2014,Break and Enter,34,169,0.2012,221.41,89.7,53,Very Safe,Assault
Bathurst Manor (34),2014,NonMCI,38,169,0.2249,221.41,89.7,53,Very Safe,Assault
Bathurst Manor (34),2014,Robbery,8,169,0.0473,221.41,89.7,53,Very Safe,Assault
Bathurst Manor (34),2014,Theft Over,2,169,0.0118,221.41,89.7,53,Very Safe,Assault
Bay-Cloverhill (169),2014,Assault,104,201,0.5174,305.66,83.3,92,Very Safe,Assault
Bay-Cloverhill (169),2014,Auto Theft,7,201,0.0348,305.66,83.3,92,Very Safe,Assault
Bay-Cloverhill (169),2014,Break and Enter,25,201,0.1244,305.66,83.3,92,Very Safe,Assault
Bay-Cloverhill (169),2014,NonMCI,37,201,0.1841,305.66,83.3,92,Very Safe,Assault
Bay-Cloverhill (169),2014,Robbery,12,201,0.0597,305.66,83.3,92,Very Safe,Assault
Bay-Cloverhill (169),2014,Theft Over,16,201,0.0796,305.66,83.3,92,Very Safe,Assault
Bayview Village (52),2014,Assault,76,239,0.318,300.2,83.8,86,Very Safe,NonMCI
Bayview Village (52),2014,Auto Theft,25,239,0.1046,300.2,83.8,86,Very Safe,NonMCI
Bayview Village (52),2014,Break and Enter,43,239,0.1799,300.2,83.8,86,Very Safe,NonMCI
Bayview Village (52),2014,NonMCI,83,239,0.3473,300.2,83.8,86,Very Safe,NonMCI
Bayview Village (52),2014,Robbery,3,239,0.0126,300.2,83.8,86,Very Safe,NonMCI
Bayview Village (52),2014,Theft Over,9,239,0.0377,300.2,83.8,86,Very Safe,NonMCI
Bayview Woods-Steeles (49),2014,Assault,33,103,0.3204,140.16,95.8,12,Very Safe,Assault
Bayview Woods-Steeles (49),2014,Auto Theft,16,103,0.1553,140.16,95.8,12,Very Safe,Assault
Bayview Woods-Steeles (49),2014,Break and Enter,22,103,0.2136,140.16,95.8,12,Very Safe,Assault
Bayview Woods-Steeles (49),2014,NonMCI,22,103,0.2136,140.16,95.8,12,Very Safe,Assault
Bayview Woods-Steeles (49),2014,Robbery,7,103,0.068,140.16,95.8,12,Very Safe,Assault
Bayview Woods-Steeles (49),2014,Theft Over,3,103,0.0291,140.16,95.8,12,Very Safe,Assault
Bedford Park-Nortown (39),2014,Assault,56,263,0.2129,326.85,81.8,99,Very Safe,Break and Enter
Bedford Park-Nortown (39),2014,Auto Theft,37,263,0.1407,326.85,81.8,99,Very Safe,Break and Enter
Bedford Park-Nortown (39),2014,Break and Enter,84,263,0.3194,326.85,81.8,99,Very Safe,Break and Enter
Bedford Park-Nortown (39),2014,NonMCI,66,263,0.251,326.85,81.8,99,Very Safe,Break and Enter
Bedford Park-Nortown (39),2014,Robbery,10,263,0.038,326.85,81.8,99,Very Safe,Break and Enter
Bedford Park-Nortown (39),2014,Theft Over,10,263,0.038,326.85,81.8,99,Very Safe,Break and Enter
Beechborough-Greenbrook (112),2014,Assault,57,114,0.5,182.43,92.6,33,Very Safe,Assault
Beechborough-Greenbrook (112),2014,Auto Theft,10,114,0.0877,182.43,92.6,33,Very Safe,Assault
Beechborough-Greenbrook (112),2014,Break and Enter,20,114,0.1754,182.43,92.6,33,Very Safe,Assault
Beechborough-Greenbrook (112),2014,NonMCI,9,114,0.0789,182.43,92.6,33,Very Safe,Assault
Beechborough-Greenbrook (112),2014,Robbery,16,114,0.1404,182.43,92.6,33,Very Safe,Assault
Beechborough-Greenbrook (112),2014,Theft Over,2,114,0.0175,182.43,92.6,33,Very Safe,Assault
Bendale South (157),2014,Assault,54,120,0.45,185.01,92.4,35,Very Safe,Assault
Bendale South (157),2014,Auto Theft,9,120,0.075,185.01,92.4,35,Very Safe,Assault
Bendale South (157),2014,Break and Enter,26,120,0.2167,185.01,92.4,35,Very Safe,Assault
Bendale South (157),2014,NonMCI,15,120,0.125,185.01,92.4,35,Very Safe,Assault
Bendale South (157),2014,Robbery,14,120,0.1167,185.01,92.4,35,Very Safe,Assault
Bendale South (157),2014,Theft Over,2,120,0.0167,185.01,92.4,35,Very Safe,Assault
Bendale-Glen Andrew (156),2014,Assault,121,363,0.3333,505.15,68.3,130,Safe,Assault
Bendale-Glen Andrew (156),2014,Auto Theft,37,363,0.1019,505.15,68.3,130,Safe,Assault
Bendale-Glen Andrew (156),2014,Break and Enter,71,363,0.1956,505.15,68.3,130,Safe,Assault
Bendale-Glen Andrew (156),2014,NonMCI,83,363,0.2287,505.15,68.3,130,Safe,Assault
Bendale-Glen Andrew (156),2014,Robbery,44,363,0.1212,505.15,68.3,130,Safe,Assault
Bendale-Glen Andrew (156),2014,Theft Over,7,363,0.0193,505.15,68.3,130,Safe,Assault
Birchcliffe-Cliffside (122),2014,Assault,134,319,0.4201,458.11,71.9,124,Safe,Assault
Birchcliffe-Cliffside (122),2014,Auto Theft,13,319,0.0408,458.11,71.9,124,Safe,Assault
Birchcliffe-Cliffside (122),2014,Break and Enter,72,319,0.2257,458.11,71.9,124,Safe,Assault
Birchcliffe-Cliffside (122),2014,NonMCI,81,319,0.2539,458.11,71.9,124,Safe,Assault
Birchcliffe-Cliffside (122),2014,Robbery,16,319,0.0502,458.11,71.9,124,Safe,Assault
Birchcliffe-Cliffside (122),2014,Theft Over,3,319,0.0094,458.11,71.9,124,Safe,Assault
Black Creek (24),2014,Assault,197,360,0.5472,569.77,63.5,141,Safe,Assault
Black Creek (24),2014,Auto Theft,44,360,0.1222,569.77,63.5,141,Safe,Assault
Black Creek (24),2014,Break and Enter,26,360,0.0722,569.77,63.5,141,Safe,Assault
Black Creek (24),2014,NonMCI,41,360,0.1139,569.77,63.5,141,Safe,Assault
Black Creek (24),2014,Robbery,42,360,0.1167,569.77,63.5,141,Safe,Assault
Black Creek (24),2014,Theft Over,10,360,0.0278,569.77,63.5,141,Safe,Assault
Blake-Jones (69),2014,Assault,67,129,0.5194,196.44,91.6,42,Very Safe,Assault
Blake-Jones (69),2014,Auto Theft,2,129,0.0155,196.44,91.6,42,Very Safe,Assault
Blake-Jones (69),2014,Break and Enter,20,129,0.155,196.44,91.6,42,Very Safe,Assault
Blake-Jones (69),2014,NonMCI,29,129,0.2248,196.44,91.6,42,Very Safe,Assault
Blake-Jones (69),2014,Robbery,10,129,0.0775,196.44,91.6,42,Very Safe,Assault
