neighbourhood_158,occ_year,assault_incidents,auto_theft_incidents,break_and_enter_incidents,nonmci_incidents,robbery_incidents,theft_over_incidents,total_incidents,weighted_risk_score,dominant_crime_category,safety_score,safety_rank,safety_category
Maple Leaf (29),2014,21,7,14,12,6,0,60,84.5,Assault,100.0,1,Very Safe
Avondale (153),2014,30,13,10,8,2,2,65,96.42,Assault,99.1,2,Very Safe
Yonge-St.Clair (97),2014,18,1,37,7,3,2,68,96.94,Break and Enter,99.1,2,Very Safe
Lambton Baby Point (114),2014,30,6,17,23,1,0,77,104.22,Assault,98.5,4,Very Safe
Bridle Path-Sunnybrook-York Mills (41),2014,19,5,38,21,1,5,89,112.82,Break and Enter,97.9,5,Very Safe
Casa Loma (96),2014,24,4,32,22,6,5,93,122.85,Break and Enter,97.1,6,Very Safe
Mount Pleasant East (99),2014,28,7,30,25,1,4,95,123.5,Break and Enter,97.1,6,Very Safe
Forest Hill South (101),2014,21,5,47,23,2,5,103,130.98,Break and Enter,96.5,8,Very Safe
Pleasant View (46),2014,32,11,17,32,6,3,101,130.75,Assault,96.5,8,Very Safe
Kingsway South (15),2014,25,16,24,24,11,3,103,132.32,Assault,96.4,10,Very Safe
Broadview North (57),2014,47,2,14,15,8,0,86,137.86,Assault,96.0,11,Very Safe
Bayview Woods-Steeles (49),2014,33,16,22,22,7,3,103,140.16,Assault,95.8,12,Very Safe
Elms-Old Rexdale (5),2014,40,7,9,31,12,2,101,141.57,Assault,95.7,13,Very Safe
Guildwood (140),2014,45,2,13,23,10,1,94,141.73,Assault,95.7,13,Very Safe
Runnymede-Bloor West Village (89),2014,27,17,21,33,12,1,111,141.56,NonMCI,95.7,13,Very Safe
South Eglinton-Davisville (174),2014,42,2,27,12,7,4,94,142.46,Assault,95.6,16,Very Safe
Centennial Scarborough (133),2014,45,8,13,35,8,2,111,153.24,Assault,94.8,17,Very Safe
Alderwood (20),2014,43,10,19,37,4,7,120,157.42,Assault,94.5,18,Very Safe
Yonge-Doris (151),2014,60,8,8,14,7,2,99,159.15,Assault,94.4,19,Very Safe
Lawrence Park North (105),2014,26,22,34,62,0,4,148,161.5,NonMCI,94.2,20,Very Safe
Parkwoods-O'Connor Hills (149),2014,39,15,25,38,7,1,125,162.07,Assault,94.2,20,Very Safe
Humber Heights-Westmount (8),2014,23,27,19,70,11,1,151,162.89,NonMCI,94.1,22,Very Safe
Caledonia-Fairbank (109),2014,47,7,27,14,10,5,110,165.12,Assault,93.9,23,Very Safe
Etobicoke West Mall (13),2014,42,11,27,24,11,0,115,165.79,Assault,93.9,23,Very Safe
Forest Hill North (102),2014,32,12,39,34,8,3,128,165.71,Break and Enter,93.9,23,Very Safe
Lansing-Westgate (38),2014,35,18,34,22,9,5,123,166.0,Assault,93.9,23,Very Safe
Old East York (58),2014,45,2,21,34,14,4,120,167.43,Assault,93.8,27,Very Safe
Markland Wood (12),2014,20,8,51,55,9,3,146,168.65,NonMCI,93.7,28,Very Safe
Lawrence Park South (103),2014,14,14,68,48,3,5,152,169.82,Break and Enter,93.6,29,Very Safe
North Toronto (173),2014,52,8,26,23,6,2,117,171.57,Assault,93.4,30,Very Safe
Humber Bay Shores (161),2014,57,6,12,47,1,6,129,173.19,Assault,93.3,31,Very Safe
Woodbine-Lumsden (60),2014,45,2,36,49,5,2,139,179.93,NonMCI,92.8,32,Very Safe
Beechborough-Greenbrook (112),2014,57,10,20,9,16,2,114,182.43,Assault,92.6,33,Very Safe
Yonge-Eglinton (100),2014,47,6,36,23,10,5,127,182.34,Assault,92.6,33,Very Safe
Bendale South (157),2014,54,9,26,15,14,2,120,185.01,Assault,92.4,35,Very Safe
Humewood-Cedarvale (106),2014,36,12,30,83,4,3,168,185.75,NonMCI,92.4,35,Very Safe
Leaside-Bennington (56),2014,31,12,39,67,6,9,164,185.67,NonMCI,92.4,35,Very Safe
Rustic (28),2014,56,8,21,22,14,1,122,184.87,Assault,92.4,35,Very Safe
