neighbourhood_158,occ_year,csi_category,offence,crime_subcategory,incidents,total_incidents,subcategory_share,yearly_weighted_risk_score,yearly_safety_score,yearly_safety_rank,yearly_safety_category,dominant_csi_category,dominant_subcategory
Agincourt North (129),2014,Assault,Aggravated Assault,Assault - Aggravated Assault,3,233,0.0129,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,Assault,Assault,Assault - Assault,55,233,0.2361,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,Assault,Assault - Resist/ Prevent Seiz,Assault - Assault - Resist/ Prevent Seiz,2,233,0.0086,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,Assault,Assault Bodily Harm,Assault - Assault Bodily Harm,2,233,0.0086,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,Assault,Assault With Weapon,Assault - Assault With Weapon,11,233,0.0472,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,Auto Theft,Theft Of Motor Vehicle,Auto Theft - Theft Of Motor Vehicle,17,233,0.073,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,Break and Enter,B&E,Break and Enter - B&E,38,233,0.1631,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,Break and Enter,B&E W'Intent,Break and Enter - B&E W'Intent,7,233,0.03,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,NonMCI,Theft From Motor Vehicle Under,NonMCI - Theft From Motor Vehicle Under,63,233,0.2704,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,Robbery,Robbery - Business,Robbery - Robbery - Business,1,233,0.0043,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,Robbery,Robbery - Mugging,Robbery - Robbery - Mugging,9,233,0.0386,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,Robbery,Robbery - Other,Robbery - Robbery - Other,12,233,0.0515,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,Robbery,Robbery - Purse Snatch,Robbery - Robbery - Purse Snatch,5,233,0.0215,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,Robbery,Robbery - Swarming,Robbery - Robbery - Swarming,3,233,0.0129,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,Robbery,Robbery With Weapon,Robbery - Robbery With Weapon,4,233,0.0172,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt North (129),2014,Theft Over,Theft From Motor Vehicle Over,Theft Over - Theft From Motor Vehicle Over,1,233,0.0043,525.13,82.3,97,Very Safe,Assault,NonMCI - Theft From Motor Vehicle Under
Agincourt South-Malvern West (128),2014,Assault,Administering Noxious Thing,Assault - Administering Noxious Thing,1,323,0.0031,712.52,73.8,119,Safe,Assault,Assault - Assault
Agincourt South-Malvern West (128),2014,Assault,Assault,Assault - Assault,83,323,0.257,712.52,73.8,119,Safe,Assault,Assault - Assault
Agincourt South-Malvern West (128),2014,Assault,Assault - Resist/ Prevent Seiz,Assault - Assault - Resist/ Prevent Seiz,2,323,0.0062,712.52,73.8,119,Safe,Assault,Assault - Assault
Agincourt South-Malvern West (128),2014,Assault,Assault Bodily Harm,Assault - Assault Bodily Harm,3,323,0.0093,712.52,73.8,119,Safe,Assault,Assault - Assault
Agincourt South-Malvern West (128),2014,Assault,Assault With Weapon,Assault - Assault With Weapon,15,323,0.0464,712.52,73.8,119,Safe,Assault,Assault - Assault
Agincourt South-Malvern West (128),2014,Assault,Pointing A Firearm,Assault - Pointing A Firearm,1,323,0.0031,712.52,73.8,119,Safe,Assault,Assault - Assault
Agincourt South-Malvern West (128),2014,Auto Theft,Theft Of Motor Vehicle,Auto Theft - Theft Of Motor Vehicle,33,323,0.1022,712.52,73.8,119,Safe,Assault,Assault - Assault
Agincourt South-Malvern West (128),2014,Break and Enter,B&E,Break and Enter - B&E,61,323,0.1889,712.52,73.8,119,Safe,Assault,Assault - Assault
Agincourt South-Malvern West (128),2014,Break and Enter,B&E W'Intent,Break and Enter - B&E W'Intent,12,323,0.0372,712.52,73.8,119,Safe,Assault,Assault - Assault
Agincourt South-Malvern West (128),2014,NonMCI,Theft From Motor Vehicle Under,NonMCI - Theft From Motor Vehicle Under,73,323,0.226,712.52,73.8,119,Safe,Assault,Assault - Assault
Agincourt South-Malvern West (128),2014,Robbery,Robbery - Business,Robbery - Robbery - Business,1,323,0.0031,712.52,73.8,119,Safe,Assault,Assault - Assault
Agincourt South-Malvern West (128),2014,Robbery,Robbery - Financial Institute,Robbery - Robbery - Financial Institute,1,323,0.0031,712.52,73.8,119,Safe,Assault,Assault - Assault
