EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-20141260912,1/1/2014 5:00:00 AM,Kensington-Chinatown (78),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141262644,1/1/2014 5:00:00 AM,Weston (113),Robbery,Robbery - Purse Snatch,NA,NA,NA,NA
GO-20141262818,1/1/2014 5:00:00 AM,Church-Wellesley (167),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141260577,1/1/2014 5:00:00 AM,NSA,Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141260577,1/1/2014 5:00:00 AM,NSA,Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141265410,12/31/2013 5:00:00 AM,Wexford/Maryvale (119),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141266749,1/2/2014 5:00:00 AM,Clairlea-Birchmount (120),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141270511,1/2/2014 5:00:00 AM,NSA,Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141269818,1/2/2014 5:00:00 AM,Malvern East (146),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141270022,1/2/2014 5:00:00 AM,Don Valley Village (47),Robbery,Robbery - Purse Snatch,NA,NA,NA,NA
GO-20141272785,1/3/2014 5:00:00 AM,West Rouge (143),Robbery,Robbery - Financial Institute,NA,NA,NA,NA
GO-20141602781,1/3/2014 5:00:00 AM,NSA,Robbery,Robbery - Financial Institute,NA,NA,NA,NA
GO-20141272968,12/24/2013 5:00:00 AM,West Humber-Clairville (1),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141274457,1/3/2014 5:00:00 AM,Islington (158),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141282929,1/4/2014 5:00:00 AM,West Queen West (162),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141283439,1/4/2014 5:00:00 AM,NSA,Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141283439,1/4/2014 5:00:00 AM,NSA,Robbery,Robbery - Armoured Car,NA,NA,NA,NA
GO-20141283284,1/4/2013 5:00:00 AM,North Riverdale (68),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141279791,1/4/2014 5:00:00 AM,North St.James Town (74),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141286851,1/5/2014 5:00:00 AM,East End-Danforth (62),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141285128,1/5/2014 5:00:00 AM,Weston-Pelham Park (91),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141287319,1/5/2014 5:00:00 AM,Annex (95),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141283751,1/5/2014 5:00:00 AM,Glenfield-Jane Heights (25),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141283755,1/5/2014 5:00:00 AM,North St.James Town (74),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141284336,1/5/2014 5:00:00 AM,Yonge-Eglinton (100),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141284342,1/5/2014 5:00:00 AM,Woburn North (142),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141284356,1/5/2014 5:00:00 AM,Bendale-Glen Andrew (156),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141287319,1/5/2014 5:00:00 AM,Annex (95),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141290519,1/6/2014 5:00:00 AM,Birchcliffe-Cliffside (122),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141289817,1/6/2014 5:00:00 AM,Morningside (135),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141294127,1/6/2014 5:00:00 AM,Downtown Yonge East (168),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141294004,1/6/2014 5:00:00 AM,South Parkdale (85),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141294777,1/6/2014 5:00:00 AM,Moss Park (73),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141289469,1/6/2014 5:00:00 AM,York University Heights (27),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141292722,1/6/2014 5:00:00 AM,Palmerston-Little Italy (80),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141291852,1/6/2014 5:00:00 AM,Golfdale-Cedarbrae-Woburn (141),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141290519,1/6/2014 5:00:00 AM,Birchcliffe-Cliffside (122),Robbery,Robbery - Other,NA,NA,NA,NA
GO-20141289817,1/6/2014 5:00:00 AM,Morningside (135),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141293808,12/30/2013 5:00:00 AM,Oakdale-Beverley Heights (154),Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141300377,1/7/2014 5:00:00 AM,NSA,Robbery,Robbery With Weapon,NA,NA,NA,NA
GO-20141299798,1/2/2014 5:00:00 AM,Eglinton East (138),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141299614,1/7/2014 5:00:00 AM,York University Heights (27),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141300141,1/7/2014 5:00:00 AM,Guildwood (140),Robbery,Robbery - Mugging,NA,NA,NA,NA
GO-20141298098,1/7/2014 5:00:00 AM,Danforth (66),Robbery,Robbery - Financial Institute,NA,NA,NA,NA
GO-20141299614,1/7/2014 5:00:00 AM,York University Heights (27),Robbery,Robbery - Business,NA,NA,NA,NA
GO-20141299553,1/7/2014 5:00:00 AM,Black Creek (24),Robbery,Robbery - Swarming,NA,NA,NA,NA
GO-20141299524,1/7/2014 5:00:00 AM,Clairlea-Birchmount (120),Robbery,Robbery - Mugging,NA,NA,NA,NA
