EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-2004133803,1/1/2004 5:00:00 AM,Pelmo Park-Humberlea (23),NA,NA,0,1,Shooting,NA
GO-2004120070,1/3/2004 5:00:00 AM,NSA,NA,NA,0,0,Firearm Discharge,NA
GO-2004135509,1/4/2004 5:00:00 AM,Kensington-Chinatown (78),NA,NA,0,2,Shooting,NA
GO-2004126451,1/5/2004 5:00:00 AM,Kennedy Park (124),NA,NA,0,1,Shooting,NA
GO-2004136310,1/6/2004 5:00:00 AM,Malvern East (146),NA,NA,0,0,Firearm Discharge,NA
GO-2004139160,1/6/2004 5:00:00 AM,Malvern East (146),NA,NA,0,0,Firearm Discharge,NA
GO-2004136086,1/8/2004 5:00:00 AM,Rustic (28),NA,NA,1,0,Shooting,NA
GO-2004125755,1/8/2004 5:00:00 AM,Woburn North (142),NA,NA,1,0,Shooting,NA
GO-2004147495,1/13/2004 5:00:00 AM,Malvern West (145),NA,NA,0,1,Shooting,NA
GO-2004147139,1/18/2004 5:00:00 AM,Newtonbrook East (50),NA,NA,0,1,Shooting,NA
GO-2004150454,1/19/2004 5:00:00 AM,Danforth East York (59),NA,NA,0,0,Firearm Discharge,NA
GO-2004149554,1/19/2004 5:00:00 AM,Morningside Heights (144),NA,NA,0,0,Firearm Discharge,NA
GO-2004149400,1/21/2004 5:00:00 AM,Malvern East (146),NA,NA,0,0,Firearm Discharge,NA
GO-2004153438,1/23/2004 5:00:00 AM,Morningside (135),NA,NA,0,1,Shooting,NA
GO-2004153417,1/24/2004 5:00:00 AM,Rustic (28),NA,NA,0,1,Shooting,NA
GO-2004156017,1/24/2004 5:00:00 AM,Woburn North (142),NA,NA,0,0,Firearm Discharge,NA
GO-2004153036,1/24/2004 5:00:00 AM,East L'Amoreaux (148),NA,NA,0,0,Firearm Discharge,NA
GO-2004148619,1/25/2004 5:00:00 AM,Morningside Heights (144),NA,NA,1,0,Shooting,NA
GO-2004148623,1/25/2004 5:00:00 AM,Junction-Wallace Emerson (171),NA,NA,1,0,Shooting,NA
GO-2004157000,1/26/2004 5:00:00 AM,Malvern East (146),NA,NA,0,0,Firearm Discharge,NA
GO-2004170771,1/31/2004 5:00:00 AM,Yorkdale-Glen Park (31),NA,NA,0,0,Firearm Discharge,NA
GO-2004187244,2/12/2004 5:00:00 AM,Dorset Park (126),NA,NA,0,0,Firearm Discharge,NA
GO-2004172092,2/21/2004 5:00:00 AM,Oakwood Village (107),NA,NA,1,0,Shooting,NA
GO-2004195761,2/21/2004 5:00:00 AM,North Toronto (173),NA,NA,0,0,Firearm Discharge,NA
GO-2004194940,2/26/2004 5:00:00 AM,Agincourt South-Malvern West (128),NA,NA,0,1,Shooting,NA
GO-2004218803,3/3/2004 5:00:00 AM,West Hill (136),NA,NA,1,1,Shooting,NA
GO-2004218585,3/3/2004 5:00:00 AM,Rustic (28),NA,NA,1,0,Shooting,NA
GO-2004200779,3/4/2004 5:00:00 AM,Clairlea-Birchmount (120),NA,NA,1,0,Shooting,NA
GO-2004224089,3/7/2004 5:00:00 AM,Elms-Old Rexdale (5),NA,NA,0,1,Shooting,NA
GO-2004233515,3/10/2004 5:00:00 AM,Woburn North (142),NA,NA,0,2,Shooting,NA
GO-2004232446,3/13/2004 5:00:00 AM,Kennedy Park (124),NA,NA,0,0,Firearm Discharge,NA
GO-2004237217,3/13/2004 5:00:00 AM,Oakdale-Beverley Heights (154),NA,NA,0,0,Firearm Discharge,NA
GO-2004232800,3/14/2004 5:00:00 AM,Black Creek (24),NA,NA,0,1,Shooting,NA
GO-2004235315,3/14/2004 5:00:00 AM,West Humber-Clairville (1),NA,NA,0,1,Shooting,NA
GO-2004213938,3/14/2004 5:00:00 AM,Fenside-Parkwoods (150),NA,NA,0,0,Firearm Discharge,NA
GO-2004239294,3/19/2004 5:00:00 AM,Scarborough Village (139),NA,NA,0,1,Shooting,NA
GO-2004252448,3/20/2004 5:00:00 AM,Woburn North (142),NA,NA,0,1,Shooting,NA
GO-2004239286,3/20/2004 5:00:00 AM,Briar Hill-Belgravia (108),NA,NA,0,1,Shooting,NA
GO-2004251775,3/29/2004 5:00:00 AM,Golfdale-Cedarbrae-Woburn (141),NA,NA,0,0,Firearm Discharge,NA
GO-2004255020,3/29/2004 5:00:00 AM,Eglinton East (138),NA,NA,0,0,Firearm Discharge,NA
GO-2004268947,3/29/2004 5:00:00 AM,Bendale-Glen Andrew (156),NA,NA,0,1,Shooting,NA
GO-2004255502,3/29/2004 5:00:00 AM,Black Creek (24),NA,NA,0,0,Firearm Discharge,NA
GO-2004259451,4/5/2004 4:00:00 AM,Humber Heights-Westmount (8),NA,NA,0,1,Shooting,NA
GO-2004263733,4/5/2004 4:00:00 AM,East L'Amoreaux (148),NA,NA,0,0,Firearm Discharge,NA
GO-2004262735,4/5/2004 4:00:00 AM,East L'Amoreaux (148),NA,NA,0,0,Firearm Discharge,NA
GO-2004303360,4/11/2004 4:00:00 AM,Kensington-Chinatown (78),NA,NA,0,1,Shooting,NA
GO-2004303455,4/12/2004 4:00:00 AM,Malvern East (146),NA,NA,0,0,Firearm Discharge,NA
GO-2004250857,4/13/2004 4:00:00 AM,Elms-Old Rexdale (5),NA,NA,1,0,Shooting,NA
GO-2004764704,4/14/2004 4:00:00 AM,South Parkdale (85),NA,NA,0,0,Firearm Discharge,NA
GO-2004304903,4/14/2004 4:00:00 AM,East L'Amoreaux (148),NA,NA,0,1,Shooting,NA
GO-2004310859,4/15/2004 4:00:00 AM,Glenfield-Jane Heights (25),NA,NA,0,2,Shooting,NA
GO-2004295496,4/16/2004 4:00:00 AM,Wellington Place (164),NA,NA,0,1,Shooting,NA
GO-2004314373,4/17/2004 4:00:00 AM,Little Portugal (84),NA,NA,0,1,Shooting,NA
GO-2004315641,4/17/2004 4:00:00 AM,Black Creek (24),NA,NA,0,0,Firearm Discharge,NA
GO-2004341984,4/19/2004 4:00:00 AM,High Park-Swansea (87),NA,NA,0,2,Shooting,NA
GO-2004348492,4/19/2004 4:00:00 AM,Yonge-Bay Corridor (170),NA,NA,0,0,Firearm Discharge,NA
GO-2004239848,4/21/2004 4:00:00 AM,York University Heights (27),NA,NA,0,1,Shooting,NA
GO-2004339280,4/23/2004 4:00:00 AM,West Hill (136),NA,NA,0,0,Firearm Discharge,NA
GO-2004333885,4/23/2004 4:00:00 AM,West Hill (136),NA,NA,0,1,Shooting,NA
GO-2004390743,4/26/2004 4:00:00 AM,Brookhaven-Amesbury (30),NA,NA,0,0,Firearm Discharge,NA
GO-2004417251,5/1/2004 4:00:00 AM,O'Connor-Parkview (54),NA,NA,0,0,Firearm Discharge,NA
GO-2004350484,5/1/2004 4:00:00 AM,Mount Olive-Silverstone-Jamestown (2),NA,NA,1,0,Shooting,NA
GO-2004301868,5/2/2004 4:00:00 AM,Old East York (58),NA,NA,1,0,Shooting,NA
GO-2004388577,5/12/2004 4:00:00 AM,Glenfield-Jane Heights (25),NA,NA,0,0,Firearm Discharge,NA
GO-2004387646,5/13/2004 4:00:00 AM,Glenfield-Jane Heights (25),NA,NA,0,0,Firearm Discharge,NA
GO-2004354521,5/13/2004 4:00:00 AM,Kensington-Chinatown (78),NA,NA,0,0,Firearm Discharge,NA
GO-2004311851,5/14/2004 4:00:00 AM,Black Creek (24),NA,NA,1,1,Shooting,NA
