EVENT_UNIQUE_ID,OCC_DATE,NEIGHBOURHOOD_158,CSI_CATEGORY,OFFENCE,DEATH,INJURIES,EVENT_TYPE,PREMISE_TYPE
GO-20141264862,1/1/2014 5:00:00 AM,Bendale-Glen Andrew (156),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141260973,1/1/2014 5:00:00 AM,NSA,Theft Over,Theft Over,NA,NA,NA,NA
GO-20141267602,12/24/2013 5:00:00 AM,Yonge-Doris (151),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141270156,1/2/2014 5:00:00 AM,Don Valley Village (47),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141269604,1/2/2014 5:00:00 AM,South Riverdale (70),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141276966,1/3/2014 5:00:00 AM,Thorncliffe Park (55),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141275836,12/31/2013 5:00:00 AM,Trinity-Bellwoods (81),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141274610,1/3/2014 5:00:00 AM,Yonge-Bay Corridor (170),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141277440,1/1/2014 5:00:00 AM,Trinity-Bellwoods (81),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141279197,1/3/2014 5:00:00 AM,Agincourt North (129),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141284673,1/5/2014 5:00:00 AM,Fenside-Parkwoods (150),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141293398,12/17/2013 5:00:00 AM,Stonegate-Queensway (16),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141301110,1/7/2014 5:00:00 AM,Fenside-Parkwoods (150),Theft Over,Theft From Mail / Bag / Key,NA,NA,NA,NA
GO-20141306704,1/8/2014 5:00:00 AM,Leaside-Bennington (56),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141302953,1/8/2014 5:00:00 AM,West Humber-Clairville (1),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141303907,1/6/2014 5:00:00 AM,West Humber-Clairville (1),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141312296,12/26/2013 5:00:00 AM,West Humber-Clairville (1),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141309782,1/9/2014 5:00:00 AM,Humbermede (22),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141309789,1/8/2014 5:00:00 AM,Leaside-Bennington (56),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141310140,12/6/2013 5:00:00 AM,South Riverdale (70),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141315465,1/9/2014 5:00:00 AM,Kensington-Chinatown (78),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141318041,12/1/2013 5:00:00 AM,Church-Wellesley (167),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141335936,1/11/2014 5:00:00 AM,Don Valley Village (47),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141326157,1/11/2014 5:00:00 AM,Fort York-Liberty Village (163),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141331086,1/12/2014 5:00:00 AM,St.Andrew-Windfields (40),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141336659,1/13/2014 5:00:00 AM,St.Andrew-Windfields (40),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141343665,1/14/2014 5:00:00 AM,St Lawrence-East Bayfront-The Islands (166),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141340641,1/14/2014 5:00:00 AM,High Park North (88),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141343564,1/12/2014 5:00:00 AM,Yonge-Bay Corridor (170),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141342156,1/14/2014 5:00:00 AM,Henry Farm (53),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141338731,1/13/2014 5:00:00 AM,Kensington-Chinatown (78),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141341993,1/14/2014 5:00:00 AM,Princess-Rosethorn (10),Theft Over,Theft Over - Shoplifting,NA,NA,NA,NA
GO-20141340474,1/13/2014 5:00:00 AM,Regent Park (72),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141350542,1/15/2014 5:00:00 AM,Stonegate-Queensway (16),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141347372,1/14/2014 5:00:00 AM,High Park North (88),Theft Over,Theft From Mail / Bag / Key,NA,NA,NA,NA
GO-20141347424,1/14/2014 5:00:00 AM,Edenbridge-Humber Valley (9),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141382719,1/1/2013 5:00:00 AM,Kingsview Village-The Westway (6),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141360646,1/17/2014 5:00:00 AM,O'Connor-Parkview (54),Theft Over,Theft From Mail / Bag / Key,NA,NA,NA,NA
GO-20141364302,1/17/2014 5:00:00 AM,Greenwood-Coxwell (65),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141362315,6/5/2013 4:00:00 AM,Bay-Cloverhill (169),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141364249,1/11/2014 5:00:00 AM,Caledonia-Fairbank (109),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141359688,1/15/2014 5:00:00 AM,Etobicoke City Centre (159),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141366736,1/17/2014 5:00:00 AM,St.Andrew-Windfields (40),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141368890,1/18/2014 5:00:00 AM,Eglinton East (138),Theft Over,Theft Over - Shoplifting,NA,NA,NA,NA
GO-20141367464,1/18/2014 5:00:00 AM,Mimico-Queensway (160),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141370340,1/18/2014 5:00:00 AM,South Eglinton-Davisville (174),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141371719,1/3/2014 5:00:00 AM,Guildwood (140),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141372418,1/16/2014 5:00:00 AM,Humber Summit (21),Theft Over,Theft From Mail / Bag / Key,NA,NA,NA,NA
GO-20141380686,1/10/2014 5:00:00 AM,Yonge-Bay Corridor (170),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141377896,11/14/2013 5:00:00 AM,The Beaches (63),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141377375,1/14/2014 5:00:00 AM,Beechborough-Greenbrook (112),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141380597,1/20/2014 5:00:00 AM,Oakdale-Beverley Heights (154),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141382896,1/7/2014 5:00:00 AM,Dufferin Grove (83),Theft Over,Theft Over - Shoplifting,NA,NA,NA,NA
GO-20141389838,3/15/2013 4:00:00 AM,Rexdale-Kipling (4),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141397728,1/17/2014 5:00:00 AM,Annex (95),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141395847,1/23/2014 5:00:00 AM,Bedford Park-Nortown (39),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141397979,12/29/2013 5:00:00 AM,Yonge-Bay Corridor (170),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141396198,1/23/2014 5:00:00 AM,Thistletown-Beaumond Heights (3),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141408533,1/22/2014 5:00:00 AM,Bedford Park-Nortown (39),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141401067,1/1/2013 5:00:00 AM,Banbury-Don Mills (42),Theft Over,Theft Over,NA,NA,NA,NA
GO-20149000751,1/23/2014 5:00:00 AM,Woodbine-Lumsden (60),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141413424,1/26/2014 5:00:00 AM,NSA,Theft Over,Theft Over - Shoplifting,NA,NA,NA,NA
GO-20141414982,1/25/2014 5:00:00 AM,St Lawrence-East Bayfront-The Islands (166),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141413752,1/24/2014 5:00:00 AM,Black Creek (24),Theft Over,Theft From Mail / Bag / Key,NA,NA,NA,NA
GO-20141413263,12/11/2013 5:00:00 AM,Steeles (116),Theft Over,Theft From Mail / Bag / Key,NA,NA,NA,NA
GO-20141413933,1/25/2014 5:00:00 AM,West Humber-Clairville (1),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141418709,1/24/2014 5:00:00 AM,Wychwood (94),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141419564,1/9/2014 5:00:00 AM,Banbury-Don Mills (42),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141424403,1/27/2014 5:00:00 AM,West Humber-Clairville (1),Theft Over,Theft From Motor Vehicle Over,NA,NA,NA,NA
GO-20141427641,1/24/2014 5:00:00 AM,Willowridge-Martingrove-Richview (7),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141427238,11/10/2013 5:00:00 AM,Trinity-Bellwoods (81),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141431172,1/29/2014 5:00:00 AM,Annex (95),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141432068,1/29/2014 5:00:00 AM,Casa Loma (96),Theft Over,Theft Over,NA,NA,NA,NA
GO-20141431375,12/28/2013 5:00:00 AM,Humber Bay Shores (161),Theft Over,Theft From Mail / Bag / Key,NA,NA,NA,NA
