neighbourhood_158,safety_index,safety_category,safety_rank,total_collisions,fatalities,injury_collisions,pd_collisions,ftr_collisions,pedestrian_collisions,bicycle_collisions,motorcycle_collisions,fatal_rate,injury_rate,pd_rate,ftr_rate,vulnerable_rate,years_active
Yonge-St.Clair (97),96.1,Safe,1,2411,1,212,1834,409,49,35,12,0.1315904903938942,84.65654882007192,753.3555575050442,178.6121589613124,40.135099570137726,12
Lawrence Park North (105),95.1,Safe,2,3589,3,320,2696,624,73,29,13,0.5478030215661399,92.11740283704302,748.8178987429361,171.75066312997347,34.88640295236996,12
Mount Pleasant East (99),94.1,Safe,3,3618,1,374,2739,568,94,26,25,0.40576181781294374,98.8609686114251,762.0206938527083,156.79795959771613,36.46059762919166,12
Bayview Woods-Steeles (49),93.6,Safe,4,2175,2,304,1643,256,41,13,3,0.9030847473739245,131.2324730262845,750.0831788583107,131.08988069775177,25.714149912068063,12
Casa Loma (96),93.5,Safe,5,4065,0,440,3158,545,71,110,22,0.0,101.89489641232946,781.5816068721576,132.87013643254167,46.361798888327435,12
Forest Hill North (102),92.9,Safe,6,4175,4,473,3231,519,78,31,24,0.4661244086046566,124.61836064045495,761.2277716922646,123.21998741464098,31.276947817372452,12
Princess-Rosethorn (10),92.8,Safe,7,1346,1,191,988,192,18,19,4,0.8051529790660226,127.93880837359097,742.3510466988728,144.12238325281803,28.01932367149758,12
Forest Hill South (101),91.6,Safe,8,2585,1,302,1922,411,56,30,8,0.5745711236969547,113.1905113683001,743.41295247476,157.88393663301323,34.556349010916854,12
Leaside-Bennington (56),89.4,Safe,9,5164,5,602,3938,709,88,52,32,0.5530406996989,117.5723561582106,756.662092132484,143.1146432887487,31.646217816103725,12
North Toronto (173),88.8,Safe,10,2524,2,215,1893,476,102,29,11,1.107919573245794,77.22609766105867,742.7574887156339,201.92860073861306,51.41567501025851,12
Yonge-Doris (151),88.3,Safe,11,3003,4,352,2240,457,82,22,12,1.343744325404031,116.21572544034865,740.330488469221,155.62011984746684,40.09442527692029,12
Avondale (153),88.3,Safe,11,1615,2,168,1201,281,51,9,5,0.6637902422834384,112.11417192167275,737.6037172253568,169.33289080650516,40.889478924659805,12
Yonge-Eglinton (100),86.9,Safe,13,2781,1,306,2053,483,71,48,13,0.19654088050314467,103.34119496855345,745.9512578616352,169.4182389937107,50.5503144654088,12
St.Andrew-Windfields (40),86.3,Safe,14,7365,2,965,5594,887,102,46,30,0.14416492467382686,133.7850500973113,749.109781590139,128.24911698983635,26.67051106465797,12
Willowdale West (37),86.2,Safe,15,1527,1,139,1100,327,39,25,9,0.48126503953248534,92.12787899621863,719.9037469920935,209.2815400481265,46.613956686146444,12
Bridle Path-Sunnybrook-York Mills (41),86.0,Safe,16,3010,3,363,2189,508,59,36,8,0.5946759016336097,115.9618008185539,719.3829362997167,180.3267219365446,34.106412005457024,12
Victoria Village (43),84.8,Safe,17,2172,1,292,1558,365,39,17,14,0.6708836496070539,125.4552424765191,710.1303431090666,182.33659191106003,29.183438757906853,12
Fenside-Parkwoods (150),84.7,Safe,18,3135,1,405,2277,509,58,10,13,0.6117704637220115,132.1424201639545,711.5808148782578,171.05102165667444,24.92964639667197,12
Centennial Scarborough (133),84.0,Safe,19,1160,3,167,823,196,30,15,7,2.5350837483023994,125.93933906745133,728.2933454051606,164.87098234495247,39.02218198279764,12
Bayview Village (52),82.5,Safe,20,5570,2,641,3949,1053,103,33,21,0.280148665558523,116.26169620678706,702.5381469099602,193.90022972190576,28.27633864370692,12
