Neighbourhood,Crime Category,Incident Count
Agincourt North (129),Assault,833
Agincourt North (129),Auto Theft,635
Agincourt North (129),Break and Enter,485
Agincourt North (129),NonMCI,613
Agincourt North (129),Robbery,272
Agincourt North (129),Theft Over,71
Agincourt South-Malvern West (128),Assault,1513
Agincourt South-Malvern West (128),Auto Theft,632
Agincourt South-Malvern West (128),Break and Enter,848
Agincourt South-Malvern West (128),NonMCI,817
Agincourt South-Malvern West (128),Robbery,259
Agincourt South-Malvern West (128),Theft Over,137
Alderwood (20),Assault,465
Alderwood (20),Auto Theft,315
Alderwood (20),Break and Enter,327
Alderwood (20),NonMCI,374
Alderwood (20),Robbery,65
Alderwood (20),Theft Over,92
Annex (95),Assault,3473
Annex (95),Auto Theft,440
Annex (95),Break and Enter,1824
Annex (95),NonMCI,1646
Annex (95),Robbery,492
Annex (95),Theft Over,470
Avondale (153),Assault,527
Avondale (153),Auto Theft,189
Avondale (153),Break and Enter,160
Avondale (153),NonMCI,257
Avondale (153),Robbery,51
Avondale (153),Theft Over,50
Banbury-Don Mills (42),Assault,1060
Banbury-Don Mills (42),Auto Theft,537
Banbury-Don Mills (42),Break and Enter,814
Banbury-Don Mills (42),NonMCI,660
Banbury-Don Mills (42),Robbery,151
Banbury-Don Mills (42),Theft Over,141
Bathurst Manor (34),Assault,794
Bathurst Manor (34),Auto Theft,458
Bathurst Manor (34),Break and Enter,342
Bathurst Manor (34),NonMCI,503
Bathurst Manor (34),Robbery,123
Bathurst Manor (34),Theft Over,62
Bay-Cloverhill (169),Assault,1441
Bay-Cloverhill (169),Auto Theft,121
Bay-Cloverhill (169),Break and Enter,700
Bay-Cloverhill (169),NonMCI,371
Bay-Cloverhill (169),Robbery,221
Bay-Cloverhill (169),Theft Over,160
Bayview Village (52),Assault,1018
Bayview Village (52),Auto Theft,441
Bayview Village (52),Break and Enter,509
Bayview Village (52),NonMCI,603
Bayview Village (52),Robbery,110
Bayview Village (52),Theft Over,122
Bayview Woods-Steeles (49),Assault,432
Bayview Woods-Steeles (49),Auto Theft,202
Bayview Woods-Steeles (49),Break and Enter,341
Bayview Woods-Steeles (49),NonMCI,258
Bayview Woods-Steeles (49),Robbery,44
Bayview Woods-Steeles (49),Theft Over,33
Bedford Park-Nortown (39),Assault,547
Bedford Park-Nortown (39),Auto Theft,882
Bedford Park-Nortown (39),Break and Enter,1001
Bedford Park-Nortown (39),NonMCI,795
Bedford Park-Nortown (39),Robbery,149
Bedford Park-Nortown (39),Theft Over,128
Beechborough-Greenbrook (112),Assault,756
Beechborough-Greenbrook (112),Auto Theft,181
Beechborough-Greenbrook (112),Break and Enter,173
Beechborough-Greenbrook (112),NonMCI,169
Beechborough-Greenbrook (112),Robbery,126
Beechborough-Greenbrook (112),Theft Over,33
Bendale-Glen Andrew (156),Assault,1856
Bendale-Glen Andrew (156),Auto Theft,725
Bendale-Glen Andrew (156),Break and Enter,368
Bendale-Glen Andrew (156),NonMCI,692
Bendale-Glen Andrew (156),Robbery,474
Bendale-Glen Andrew (156),Theft Over,136
Bendale South (157),Assault,765
Bendale South (157),Auto Theft,196
Bendale South (157),Break and Enter,217
Bendale South (157),NonMCI,320
Bendale South (157),Robbery,111
Bendale South (157),Theft Over,19
Birchcliffe-Cliffside (122),Assault,1907
Birchcliffe-Cliffside (122),Auto Theft,388
Birchcliffe-Cliffside (122),Break and Enter,687
Birchcliffe-Cliffside (122),NonMCI,894
Birchcliffe-Cliffside (122),Robbery,196
Birchcliffe-Cliffside (122),Theft Over,70
Black Creek (24),Assault,2653
