Rank,Neighbourhood,Safety Score (0-100)
1,Lambton Baby Point (114),100.0
2,Woodbine-Lumsden (60),97.6
3,Guildwood (140),97.25
4,Maple Leaf (29),97.04
5,Yonge-St.Clair (97),96.74
6,Humber Heights-Westmount (8),96.58
7,Markland Wood (12),96.42
8,Kingsway South (15),96.1
9,Bayview Woods-Steeles (49),96.06
10,Blake-Jones (69),95.91
11,Avondale (153),95.78
12,Caledonia-Fairbank (109),95.73
13,Forest Hill South (101),95.57
14,Runnymede-Bloor West Village (89),95.57
15,Centennial Scarborough (133),95.36
16,Old East York (58),95.17
17,Princess-Rosethorn (10),94.89
18,Pleasant View (46),94.63
19,Beechborough-Greenbrook (112),94.51
20,Broadview North (57),94.48
21,Forest Hill North (102),94.35
22,Bridle Path-Sunnybrook-York Mills (41),94.33
23,Etobicoke West Mall (13),94.27
24,Casa Loma (96),94.21
25,Alderwood (20),93.94
26,Lawrence Park North (105),93.89
27,Lawrence Park South (103),93.55
28,Bendale South (157),93.4
29,Highland Creek (134),93.38
30,Steeles (116),93.24
31,Mount Pleasant East (99),93.07
32,Elms-Old Rexdale (5),92.42
33,Humewood-Cedarvale (106),92.34
34,Edenbridge-Humber Valley (9),92.19
35,Rustic (28),92.06
36,North Riverdale (68),91.97
37,Thistletown-Beaumond Heights (3),91.95
38,Leaside-Bennington (56),91.92
39,Parkwoods-O'Connor Hills (149),91.92
40,Keelesdale-Eglinton West (110),91.65
41,Long Branch (19),91.11
42,Hillcrest Village (48),90.89
43,Rexdale-Kipling (4),90.43
44,Wychwood (94),90.06
45,Danforth East York (59),89.89
46,East L'Amoreaux (148),89.82
47,Woodbine Corridor (64),89.72
48,Ionview (125),89.65
49,Playter Estates-Danforth (67),89.37
50,Yonge-Eglinton (100),89.32
51,East Willowdale (152),89.3
52,Palmerston-Little Italy (80),89.26
53,Eringate-Centennial-West Deane (11),89.12
54,North Toronto (173),89.08
55,Weston-Pelham Park (91),89.06
56,Pelmo Park-Humberlea (23),88.54
57,West Rouge (143),88.53
58,South Eglinton-Davisville (174),88.34
59,Henry Farm (53),88.18
60,Bathurst Manor (34),87.95
61,Malvern West (145),87.84
62,Mount Dennis (115),87.79
63,Yonge-Doris (151),87.54
64,Willowdale West (37),86.89
65,Lansing-Westgate (38),86.75
66,L'Amoreaux West (147),86.7
67,Humber Bay Shores (161),86.66
68,Corso Italia-Davenport (92),86.62
69,Newtonbrook East (50),86.41
70,Dovercourt Village (172),86.05
71,Briar Hill-Belgravia (108),86.02
72,Danforth (66),85.96
73,West Queen West (162),85.96
74,Dufferin Grove (83),85.95
75,Agincourt North (129),85.66
76,Little Portugal (84),85.55
77,Taylor-Massey (61),85.26
78,High Park-Swansea (87),85.17
79,Fenside-Parkwoods (150),85.12
80,New Toronto (18),84.92
81,St.Andrew-Windfields (40),84.91
82,Morningside (135),84.52
83,Victoria Village (43),84.46
84,Englemount-Lawrence (32),84.42
85,Greenwood-Coxwell (65),84.02
86,Thorncliffe Park (55),83.87
87,Bayview Village (52),82.99
88,Willowridge-Martingrove-Richview (7),82.92
89,The Beaches (63),82.9
90,Flemingdon Park (44),82.89
91,Regent Park (72),82.73
92,Bay-Cloverhill (169),82.49
93,Oakwood Village (107),82.4
94,Bedford Park-Nortown (39),82.39
95,Brookhaven-Amesbury (30),82.33
96,Westminster-Branson (35),82.32
97,University (79),81.84
98,Fort York-Liberty Village (163),81.82
99,Roncesvalles (86),81.78
100,High Park North (88),81.56
101,Clanton Park (33),81.02
102,Morningside Heights (144),80.99
103,O'Connor-Parkview (54),80.68
104,Junction Area (90),80.4
105,Malvern East (146),80.37
106,Islington (158),80.29
107,Cliffcrest (123),80.17
108,Cabbagetown-South St.James Town (71),80.09
109,Banbury-Don Mills (42),79.33
110,Tam O'Shanter-Sullivan (118),79.07
111,Humbermede (22),78.97
112,Kingsview Village-The Westway (6),78.93
113,Scarborough Village (139),78.88
114,Trinity-Bellwoods (81),78.88
115,Stonegate-Queensway (16),78.54
116,Rockcliffe-Smythe (111),76.05
117,Don Valley Village (47),75.86
118,Oakridge (121),75.33
119,Downsview (155),75.27
120,Milliken (130),74.5
121,Humber Summit (21),73.99
122,Birchcliffe-Cliffside (122),73.74
123,Agincourt South-Malvern West (128),73.52
124,Bendale-Glen Andrew (156),73.0
125,Golfdale-Cedarbrae-Woburn (141),72.61
126,Eglinton East (138),70.91
127,Junction-Wallace Emerson (171),70.85
128,East End-Danforth (62),70.17
129,Woburn North (142),69.16
130,Rosedale-Moore Park (98),69.15
131,Weston (113),67.98
132,Harbourfront-CityPlace (165),67.83
133,Dorset Park (126),67.67
134,North St.James Town (74),67.55
135,Newtonbrook West (36),67.5
136,Black Creek (24),67.42
137,Kennedy Park (124),67.34
138,South Parkdale (85),65.24
139,Yorkdale-Glen Park (31),62.41
140,Mount Olive-Silverstone-Jamestown (2),60.27
141,Etobicoke City Centre (159),55.39
142,Glenfield-Jane Heights (25),55.23
143,Church-Wellesley (167),53.85
144,Clairlea-Birchmount (120),53.49
145,South Riverdale (70),53.43
146,Oakdale-Beverley Heights (154),51.96
147,Wexford/Maryvale (119),50.98
148,St Lawrence-East Bayfront-The Islands (166),47.81
149,West Hill (136),42.84
150,Mimico-Queensway (160),40.46
151,Annex (95),39.47
152,Wellington Place (164),37.55
153,Yonge-Bay Corridor (170),31.91
154,York University Heights (27),26.79
155,Kensington-Chinatown (78),20.11
156,Downtown Yonge East (168),20.07
157,Moss Park (73),13.45
158,West Humber-Clairville (1),0.0
